Observation id,Comment,Start time,Stop time,Duration (s)
033 - NF Subways PLot - 2 crows - Baited,,97.926,98.667,0.741
033 - NF Subways PLot - 2 crows - Baited,,114.248,115.498,1.250
033 - NF Subways PLot - 2 crows - Baited,,128.755,130.022,1.267
033 - NF Subways PLot - 2 crows - Baited,,130.519,131.756,1.237
033 - NF Subways PLot - 2 crows - Baited,,132.26,132.755,0.495
033 - NF Subways PLot - 2 crows - Baited,,133.26,134.254,0.994
033 - NF Subways PLot - 2 crows - Baited,,134.519,135.259,0.740
033 - NF Subways PLot - 2 crows - Baited,,135.521,136.019,0.498
033 - NF Subways PLot - 2 crows - Baited,,136.523,137.522,0.999
033 - NF Subways PLot - 2 crows - Baited,,137.756,138.523,0.767
033 - NF Subways PLot - 2 crows - Baited,,138.761,140.018,1.257
033 - NF Subways PLot - 2 crows - Baited,,140.521,141.519,0.998
033 - NF Subways PLot - 2 crows - Baited,,143.025,144.52,1.495
033 - NF Subways PLot - 2 crows - Baited,,145.019,145.26,0.241
033 - NF Subways PLot - 2 crows - Baited,,145.757,147.017,1.260
033 - NF Subways PLot - 2 crows - Baited,,147.259,148.02,0.761
033 - NF Subways PLot - 2 crows - Baited,,148.521,149.758,1.237
033 - NF Subways PLot - 2 crows - Baited,,150.018,150.76,0.742
033 - NF Subways PLot - 2 crows - Baited,,151.025,152.022,0.997
033 - NF Subways PLot - 2 crows - Baited,,152.255,153.018,0.763
033 - NF Subways PLot - 2 crows - Baited,,153.521,154.019,0.498
033 - NF Subways PLot - 2 crows - Baited,,154.757,156.019,1.262
033 - NF Subways PLot - 2 crows - Baited,,158.26,158.514,0.254
033 - NF Subways PLot - 2 crows - Baited,,160.516,161.52,1.004
033 - NF Subways PLot - 2 crows - Baited,,163.52,164.516,0.996
033 - NF Subways PLot - 2 crows - Baited,,165.26,165.759,0.499
033 - NF Subways PLot - 2 crows - Baited,,167.26,168.517,1.257
033 - NF Subways PLot - 2 crows - Baited,,170.016,171.515,1.499
033 - NF Subways PLot - 2 crows - Baited,,172.758,173.261,0.503
033 - NF Subways PLot - 2 crows - Baited,,174.019,175.258,1.239
033 - NF Subways PLot - 2 crows - Baited,,177.059,178.316,1.257
033 - NF Subways PLot - 2 crows - Baited,,180.577,181.575,0.998
033 - NF Subways PLot - 2 crows - Baited,,183.576,184.312,0.736
033 - NF Subways PLot - 2 crows - Baited,,185.318,185.817,0.499
033 - NF Subways PLot - 2 crows - Baited,,186.318,187.315,0.997
033 - NF Subways PLot - 2 crows - Baited,,188.579,189.818,1.239
033 - NF Subways PLot - 2 crows - Baited,,190.816,191.579,0.763
033 - NF Subways PLot - 2 crows - Baited,,192.076,192.817,0.741
033 - NF Subways PLot - 2 crows - Baited,,194.078,195.315,1.237
033 - NF Subways PLot - 2 crows - Baited,,196.816,197.576,0.760
033 - NF Subways PLot - 2 crows - Baited,,198.579,199.317,0.738
033 - NF Subways PLot - 2 crows - Baited,,200.584,201.104,0.520
033 - NF Subways PLot - 2 crows - Baited,,202.098,202.842,0.744
033 - NF Subways PLot - 2 crows - Baited,,203.343,204.106,0.763
033 - NF Subways PLot - 2 crows - Baited,,204.842,206.101,1.259
033 - NF Subways PLot - 2 crows - Baited,,206.606,207.34,0.734
033 - NF Subways PLot - 2 crows - Baited,,208.841,210.103,1.262
033 - NF Subways PLot - 2 crows - Baited,,211.096,212.095,0.999
033 - NF Subways PLot - 2 crows - Baited,,212.627,213.845,1.218
033 - NF Subways PLot - 2 crows - Baited,,215.344,216.094,0.750
033 - NF Subways PLot - 2 crows - Baited,,218.845,220.095,1.250
033 - NF Subways PLot - 2 crows - Baited,,220.596,221.592,0.996
033 - NF Subways PLot - 2 crows - Baited,,223.845,224.843,0.998
033 - NF Subways PLot - 2 crows - Baited,,225.11,226.364,1.254
033 - NF Subways PLot - 2 crows - Baited,,226.622,227.361,0.739
033 - NF Subways PLot - 2 crows - Baited,,228.367,229.365,0.998
033 - NF Subways PLot - 2 crows - Baited,,229.866,230.361,0.495
