Observation id,Comment,Start time,Stop time,Duration (s)
033 - NF Subways PLot - 2 crows - Baited,,0.0,0.153,0.153
033 - NF Subways PLot - 2 crows - Baited,,26.654,30.153,3.499
033 - NF Subways PLot - 2 crows - Baited,,39.653,40.902,1.249
033 - NF Subways PLot - 2 crows - Baited,,42.403,42.651,0.248
033 - NF Subways PLot - 2 crows - Baited,,44.653,45.154,0.501
033 - NF Subways PLot - 2 crows - Baited,,47.154,47.924,0.770
033 - NF Subways PLot - 2 crows - Baited,,50.903,51.405,0.502
033 - NF Subways PLot - 2 crows - Baited,,53.152,54.662,1.510
033 - NF Subways PLot - 2 crows - Baited,,56.429,57.158,0.729
033 - NF Subways PLot - 2 crows - Baited,,58.166,59.92,1.754
033 - NF Subways PLot - 2 crows - Baited,,61.662,62.418,0.756
033 - NF Subways PLot - 2 crows - Baited,,67.421,68.425,1.004
033 - NF Subways PLot - 2 crows - Baited,,70.161,72.659,2.498
033 - NF Subways PLot - 2 crows - Baited,,74.16,74.661,0.501
033 - NF Subways PLot - 2 crows - Baited,,76.164,76.917,0.753
033 - NF Subways PLot - 2 crows - Baited,,79.423,79.919,0.496
033 - NF Subways PLot - 2 crows - Baited,,81.662,82.161,0.499
033 - NF Subways PLot - 2 crows - Baited,,83.163,83.661,0.498
033 - NF Subways PLot - 2 crows - Baited,,84.421,85.922,1.501
033 - NF Subways PLot - 2 crows - Baited,,87.662,88.659,0.997
033 - NF Subways PLot - 2 crows - Baited,,995.88,996.379,0.499
033 - NF Subways PLot - 2 crows - Baited,,999.885,1001.881,1.996
033 - NF Subways PLot - 2 crows - Baited,,1003.634,1006.136,2.502
