Observation id,Comment,Start time,Stop time,Duration (s)
036 - FVM - 2 crows - Baited,,7.4,9.934,2.534
036 - FVM - 2 crows - Baited,,10.65,12.65,2.000
036 - FVM - 2 crows - Baited,,13.151,14.901,1.750
036 - FVM - 2 crows - Baited,,16.156,18.914,2.758
036 - FVM - 2 crows - Baited,,19.418,22.156,2.738
036 - FVM - 2 crows - Baited,,22.654,24.155,1.501
036 - FVM - 2 crows - Baited,,25.157,29.653,4.496
036 - FVM - 2 crows - Baited,,30.655,31.654,0.999
036 - FVM - 2 crows - Baited,,41.914,45.155,3.241
036 - FVM - 2 crows - Baited,,46.656,49.155,2.499
036 - FVM - 2 crows - Baited,,49.657,50.412,0.755
036 - FVM - 2 crows - Baited,,50.917,52.414,1.497
036 - FVM - 2 crows - Baited,,699.329,701.585,2.256
036 - FVM - 2 crows - Baited,,702.334,704.833,2.499
036 - FVM - 2 crows - Baited,,712.091,712.839,0.748
036 - FVM - 2 crows - Baited,,714.09,716.346,2.256
036 - FVM - 2 crows - Baited,,716.848,718.347,1.499
036 - FVM - 2 crows - Baited,,721.597,725.597,4.000
036 - FVM - 2 crows - Baited,,727.348,728.097,0.749
036 - FVM - 2 crows - Baited,,728.598,729.346,0.748
036 - FVM - 2 crows - Baited,,732.098,732.346,0.248
036 - FVM - 2 crows - Baited,,735.598,736.846,1.248
036 - FVM - 2 crows - Baited,,738.098,739.097,0.999
036 - FVM - 2 crows - Baited,,742.097,743.347,1.250
036 - FVM - 2 crows - Baited,,744.847,748.596,3.749
036 - FVM - 2 crows - Baited,,749.848,751.597,1.749
036 - FVM - 2 crows - Baited,,752.347,758.096,5.749
036 - FVM - 2 crows - Baited,,759.347,760.597,1.250
036 - FVM - 2 crows - Baited,,762.116,764.607,2.491
036 - FVM - 2 crows - Baited,,862.245,862.352,0.107
036 - FVM - 2 crows - Baited,,863.353,868.11,4.757
036 - FVM - 2 crows - Baited,,870.003,876.77,6.767
036 - FVM - 2 crows - Baited,,881.02,882.273,1.253
036 - FVM - 2 crows - Baited,,890.52,891.779,1.259
036 - FVM - 2 crows - Baited,,897.022,898.783,1.761
036 - FVM - 2 crows - Baited,,899.279,903.279,4.000
036 - FVM - 2 crows - Baited,,907.282,907.779,0.497
036 - FVM - 2 crows - Baited,,908.519,910.541,2.022
036 - FVM - 2 crows - Baited,,911.042,913.541,2.499
036 - FVM - 2 crows - Baited,,914.042,915.292,1.250
036 - FVM - 2 crows - Baited,,915.542,917.041,1.499
036 - FVM - 2 crows - Baited,,917.294,920.791,3.497
036 - FVM - 2 crows - Baited,,921.292,928.557,7.265
036 - FVM - 2 crows - Baited,,948.08,948.838,0.758
036 - FVM - 2 crows - Baited,,951.839,954.837,2.998
036 - FVM - 2 crows - Baited,,955.58,956.578,0.998
036 - FVM - 2 crows - Baited,,962.588,964.335,1.747
036 - FVM - 2 crows - Baited,,964.578,968.079,3.501
036 - FVM - 2 crows - Baited,,968.578,971.078,2.500
036 - FVM - 2 crows - Baited,,971.579,974.336,2.757
036 - FVM - 2 crows - Baited,,974.581,979.081,4.500
036 - FVM - 2 crows - Baited,,979.335,981.835,2.500
036 - FVM - 2 crows - Baited,,982.077,985.078,3.001
036 - FVM - 2 crows - Baited,,986.093,988.576,2.483
036 - FVM - 2 crows - Baited,,989.077,994.835,5.758
