Observation id,Comment,Start time,Stop time,Duration (s)
038-2 - Dairy Queen PLot - 7 crows - Baited,,9.412,9.913,0.501
038-2 - Dairy Queen PLot - 7 crows - Baited,,12.91,13.662,0.752
038-2 - Dairy Queen PLot - 7 crows - Baited,,21.918,22.912,0.994
038-2 - Dairy Queen PLot - 7 crows - Baited,,25.417,26.652,1.235
038-2 - Dairy Queen PLot - 7 crows - Baited,,29.416,30.663,1.247
038-2 - Dairy Queen PLot - 7 crows - Baited,,93.225,93.976,0.751
038-2 - Dairy Queen PLot - 7 crows - Baited,,95.227,95.977,0.750
038-2 - Dairy Queen PLot - 7 crows - Baited,,96.729,98.731,2.002
038-2 - Dairy Queen PLot - 7 crows - Baited,,115.236,118.732,3.496
038-2 - Dairy Queen PLot - 7 crows - Baited,,130.234,131.237,1.003
038-2 - Dairy Queen PLot - 7 crows - Baited,,240.377,242.162,1.785
038-2 - Dairy Queen PLot - 7 crows - Baited,,273.891,277.144,3.253
038-2 - Dairy Queen PLot - 7 crows - Baited,,278.646,281.892,3.246
038-2 - Dairy Queen PLot - 7 crows - Baited,,286.891,288.391,1.500
038-2 - Dairy Queen PLot - 7 crows - Baited,,297.184,301.933,4.749
038-2 - Dairy Queen PLot - 7 crows - Baited,,308.429,308.684,0.255
038-2 - Dairy Queen PLot - 7 crows - Baited,,311.191,312.688,1.497
038-2 - Dairy Queen PLot - 7 crows - Baited,,313.694,316.432,2.738
038-2 - Dairy Queen PLot - 7 crows - Baited,,317.693,320.186,2.493
038-2 - Dairy Queen PLot - 7 crows - Baited,,320.954,322.452,1.498
038-2 - Dairy Queen PLot - 7 crows - Baited,,323.453,324.22,0.767
038-2 - Dairy Queen PLot - 7 crows - Baited,,324.457,325.715,1.258
