Observation id,Comment,Start time,Stop time,Duration (s)
040 - Dairy Queen PLot - 3 crows - Baited,,3.658,4.409,0.751
040 - Dairy Queen PLot - 3 crows - Baited,,6.156,6.911,0.755
040 - Dairy Queen PLot - 3 crows - Baited,,7.409,7.662,0.253
040 - Dairy Queen PLot - 3 crows - Baited,,9.408,10.156,0.748
040 - Dairy Queen PLot - 3 crows - Baited,,14.91,20.402,5.492
040 - Dairy Queen PLot - 3 crows - Baited,,22.916,28.659,5.743
040 - Dairy Queen PLot - 3 crows - Baited,,29.417,29.918,0.501
040 - Dairy Queen PLot - 3 crows - Baited,,31.416,32.159,0.743
040 - Dairy Queen PLot - 3 crows - Baited,,35.418,35.915,0.497
040 - Dairy Queen PLot - 3 crows - Baited,,37.659,37.915,0.256
040 - Dairy Queen PLot - 3 crows - Baited,,38.156,38.656,0.500
040 - Dairy Queen PLot - 3 crows - Baited,,39.16,40.155,0.995
040 - Dairy Queen PLot - 3 crows - Baited,,45.156,46.923,1.767
