Observation id,Comment,Start time,Stop time,Duration (s)
042 - CIBC PLot - 2 crows - Baited,,124.753,125.253,0.500
042 - CIBC PLot - 2 crows - Baited,,140.53,141.768,1.238
042 - CIBC PLot - 2 crows - Baited,,147.025,149.03,2.005
042 - CIBC PLot - 2 crows - Baited,,151.06,152.049,0.989
042 - CIBC PLot - 2 crows - Baited,,154.044,155.541,1.497
042 - CIBC PLot - 2 crows - Baited,,157.281,157.782,0.501
042 - CIBC PLot - 2 crows - Baited,,159.285,159.783,0.498
042 - CIBC PLot - 2 crows - Baited,,176.785,177.783,0.998
042 - CIBC PLot - 2 crows - Baited,,190.818,191.566,0.748
042 - CIBC PLot - 2 crows - Baited,,193.072,193.327,0.255
042 - CIBC PLot - 2 crows - Baited,,205.594,205.831,0.237
042 - CIBC PLot - 2 crows - Baited,,217.33,219.089,1.759
042 - CIBC PLot - 2 crows - Baited,,219.09,219.83,0.740
