Observations:,,,,,,,,,,,
,,,,,,,,,,,
Observation id,028 - FVM - 2 crows - Baited,,,,,,,,,,
Observation date,2022-07-20T06:34:00,,,,,,,,,,
Description,,,,,,,,,,,
Independent variables:,,,,,,,,,,,
Location,"43.182620, -79.245815",,,,,,,,,,
Environment,Major Green Space,,,,,,,,,,
Number of crows,2,,,,,,,,,,
Baited,yes,,,,,,,,,,
Sentinel present,yes,,,,,,,,,,
Code,28,,,,,,,,,,
,,,,,,,,,,,
Behaviors excluded from total time,Out of Frame,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Time budget:,,,,,,,,,,,
Subject,Behavior,Modifiers,Total number of occurences,Total duration (s),Duration mean (s),Duration std dev,inter-event intervals mean (s),inter-event intervals std dev,% of total length,,
,,,,,,,,,,,
No focal subject,Sentinel Present,,1,74.344,74.344,NA,NA,NA,8.3,,
No focal subject,Sentinel Absent,,1,42.177,42.177,NA,NA,NA,4.7,,
No focal subject,Disturbance,,1,NA,NA,NA,NA,NA,NA,,
Individual 1,Peck at Food/Bait,,8,NA,NA,NA,8.119,7.652,NA,,
Individual 1,Head Up,,11,39.47,3.588,4.286,2.962,2.776,54.7,,99.2
Individual 1,Head Down,,8,12.647,1.581,1.111,6.599,6.057,17.5,,
Individual 1,Moving,,8,19.456,2.432,2.295,7.841,8.547,27,,
Individual 1,Sentinel Present,,0,0,0,NA,-,-,0,,
Individual 1,Sentinel Absent,,0,0,0,NA,-,-,0,,
Individual 1,Out of Frame,,3,826.667,275.556,438.815,35.799,49.208,92,,
Individual 1,Disturbance,,0,NA,NA,NA,NA,NA,NA,,
