Observations:,,,,,,,,,
,,,,,,,,,
Observation id,038-2 - Dairy Queen PLot - 7 crows - Baited,,,,,,,,
Observation date,2022-09-01T07:40:00,,,,,,,,
Description,,,,,,,,,
Independent variables:,,,,,,,,,
Location,"43.177779, -79.239655",,,,,,,,
Environment,Community Commercial,,,,,,,,
Number of crows,7,,,,,,,,
Baited,yes,,,,,,,,
Sentinel present,yes,,,,,,,,
Code,38,,,,,,,,
,,,,,,,,,
Behaviors excluded from total time,Out of Frame,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Time budget:,,,,,,,,,
Subject,Behavior,Modifiers,Total number of occurences,Total duration (s),Duration mean (s),Duration std dev,inter-event intervals mean (s),inter-event intervals std dev,% of total length
,,,,,,,,,
No focal subject,Peck at Food/Bait,,0,NA,NA,NA,NA,NA,NA
No focal subject,Head Up,,0,0,0,NA,-,-,0
No focal subject,Head Down,,0,0,0,NA,-,-,0
No focal subject,Moving,,0,0,0,NA,-,-,0
No focal subject,Sentinel Present,,2,719.21,359.605,164.711,22.254,NA,97
No focal subject,Sentinel Absent,,1,22.252,22.252,NA,NA,NA,3
No focal subject,Away from Bait,,0,0,0,NA,-,-,0
No focal subject,Out of Frame,,0,0,0,NA,-,-,0
No focal subject,Aggression,,0,NA,NA,NA,NA,NA,NA
Individual 1,Peck at Food/Bait,,74,NA,NA,NA,2.897,13.681,NA
Individual 1,Head Up,,40,54.634,1.366,1.895,6.919,20.393,35.6
Individual 1,Head Down,,31,52.987,1.709,1.274,8.052,24.048,34.5
Individual 1,Moving,,28,45.529,1.626,1.136,10.029,23.123,29.6
Individual 1,Sentinel Present,,0,0,0,NA,-,-,0
Individual 1,Sentinel Absent,,0,0,0,NA,-,-,0
Individual 1,Away from Bait,,5,31.555,6.311,9.077,66.062,51.104,20.5
Individual 1,Out of Frame,,4,588.213,147.053,184.547,40.862,37.604,79.3
Individual 1,Aggression,,2,NA,NA,NA,146.387,NA,NA
Individual 2,Peck at Food/Bait,,49,NA,NA,NA,2.768,4.111,NA
Individual 2,Head Up,,36,83.731,2.326,2.784,2.702,1.701,47.9
Individual 2,Head Down,,29,60.525,2.087,1.175,3.745,6.769,34.7
Individual 2,Moving,,12,29.988,2.499,1.703,12.013,15.681,17.2
Individual 2,Sentinel Present,,0,0,0,NA,-,-,0
Individual 2,Sentinel Absent,,0,0,0,NA,-,-,0
Individual 2,Away from Bait,,2,10.764,5.382,6.903,147.134,NA,6.2
Individual 2,Out of Frame,,3,567.141,189.047,322.909,52.569,65.489,76.5
Individual 2,Aggression,,0,NA,NA,NA,NA,NA,NA
Individual 3,Peck at Food/Bait,,66,NA,NA,NA,2.814,3.7,NA
Individual 3,Head Up,,47,88.261,1.878,2.236,2.627,1.952,41.6
Individual 3,Head Down,,40,69.686,1.742,1.387,2.974,3.285,32.9
Individual 3,Moving,,27,53.614,1.986,1.341,6.156,10.74,25.3
Individual 3,Sentinel Present,,0,0,0,NA,-,-,0
Individual 3,Sentinel Absent,,0,0,0,NA,-,-,0
Individual 3,Away from Bait,,4,64.811,16.203,22.219,49.621,31.61,30.6
Individual 3,Out of Frame,,3,529.789,176.596,276.904,105.837,95.918,71.4
Individual 3,Aggression,,1,NA,NA,NA,NA,NA,NA
Individual 4,Peck at Food/Bait,,21,NA,NA,NA,2.726,3.379,NA
Individual 4,Head Up,,17,18.018,1.06,0.616,1.89,2.126,28.8
Individual 4,Head Down,,18,25.713,1.428,1.15,1.783,2.036,41.1
Individual 4,Moving,,10,18.49,1.849,2.117,4.864,7.911,29.5
Individual 4,Sentinel Present,,0,0,0,NA,-,-,0
Individual 4,Sentinel Absent,,0,0,0,NA,-,-,0
Individual 4,Away from Bait,,2,3.49,1.745,2.128,58.775,NA,5.6
Individual 4,Out of Frame,,2,679.197,339.599,340.283,62.267,NA,91.6
Individual 4,Aggression,,0,NA,NA,NA,NA,NA,NA
Individual 5,Peck at Food/Bait,,8,NA,NA,NA,1.252,1.023,NA
Individual 5,Head Up,,16,25.619,1.601,1.493,1.928,1.362,42.8
Individual 5,Head Down,,6,9.025,1.504,0.614,8.155,17.264,15.1
Individual 5,Moving,,14,24.849,1.775,1.379,2.956,2.473,41.5
Individual 5,Sentinel Present,,0,0,0,NA,-,-,0
Individual 5,Sentinel Absent,,0,0,0,NA,-,-,0
Individual 5,Away from Bait,,3,16.5,5.5,5.034,15.265,16.277,27.6
Individual 5,Out of Frame,,3,681.933,227.311,300.317,29.765,41.057,91.9
Individual 5,Aggression,,1,NA,NA,NA,NA,NA,NA
Individual 6,Peck at Food/Bait,,0,NA,NA,NA,NA,NA,NA
Individual 6,Head Up,,0,0,0,NA,-,-,0
Individual 6,Head Down,,0,0,0,NA,-,-,0
Individual 6,Moving,,1,1.747,1.747,NA,NA,NA,84.2
Individual 6,Sentinel Present,,0,0,0,NA,-,-,0
Individual 6,Sentinel Absent,,0,0,0,NA,-,-,0
Individual 6,Away from Bait,,1,1.747,1.747,NA,NA,NA,84.2
Individual 6,Out of Frame,,2,739.715,369.858,356.528,1.749,NA,99.7
Individual 6,Aggression,,0,NA,NA,NA,NA,NA,NA
Individual 7,Peck at Food/Bait,,238,NA,NA,NA,2.34,7.327,NA
Individual 7,Head Up,,139,184.906,1.33,1.709,2.893,2.98,33.2
Individual 7,Head Down,,115,204.319,1.777,1.167,3.086,9.874,36.7
Individual 7,Moving,,63,167.095,2.652,3.584,6.818,9.007,30
Individual 7,Sentinel Present,,0,0,0,NA,-,-,0
Individual 7,Sentinel Absent,,0,0,0,NA,-,-,0
Individual 7,Away from Bait,,12,187.083,15.59,25.892,36.614,61.363,33.6
Individual 7,Out of Frame,,12,184.577,15.381,35.466,50.626,69.266,24.9
Individual 7,Aggression,,0,NA,NA,NA,NA,NA,NA
