Observation id,Observation date,Description,Media file,Total length,FPS,Location,Environment,Number of crows,Baited,Sentinel present,Code,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
020 - FVM - 2 crows - No Bait,2022-06-25 06:20:00,,D:/Crow videos/020.MOV,87.790,59.94,"43.182620, -79.245815",Major Green Space,2, no, no,020,No focal subject,Sentinel Absent,Sentinel Behavior,,STATE,0.000,87.711,87.711,,
020 - FVM - 2 crows - No Bait,2022-06-25 06:20:00,,D:/Crow videos/020.MOV,87.790,59.94,"43.182620, -79.245815",Major Green Space,2, no, no,020,Individual 1,Head Down,Vigilance,,STATE,0.000,2.385,2.385,,
024 - FVM - 2 crows - No Bait,2022-07-07 06:13:00,,D:/Crow videos/024.MOV,191.890,59.94,"43.182620, -79.245815",Major Green Space,2, no,yes,024,No focal subject,Sentinel Absent,Sentinel Behavior,,STATE,0.000,113.502,113.502,,
024 - FVM - 2 crows - No Bait,2022-07-07 06:13:00,,D:/Crow videos/024.MOV,191.890,59.94,"43.182620, -79.245815",Major Green Space,2, no,yes,024,Individual 1,Head Down,Vigilance,,STATE,0.000,1.154,1.154,,
025 - FVM - 2 crows - Baited,2022-07-07 06:18:00,Follows 024,D:/Crow videos/025-1.MOV,2110.410,59.94,"43.182620, -79.245815",Major Green Space,2,yes, no,025,No focal subject,Sentinel Absent,Sentinel Behavior,,STATE,0.000,2110.092,2110.092,,
025 - FVM - 2 crows - Baited,2022-07-07 06:18:00,Follows 024,D:/Crow videos/025-1.MOV,2110.410,59.94,"43.182620, -79.245815",Major Green Space,2,yes, no,025,Individual 1,Moving,Vigilance,Flying,STATE,0.000,1.901,1.901,,
025 - FVM - 2 crows - Baited,2022-07-07 06:18:00,Follows 024,D:/Crow videos/025-1.MOV,2110.410,59.94,"43.182620, -79.245815",Major Green Space,2,yes, no,025,Individual 1,Away from Bait,,,STATE,0.000,1.901,1.901,,
025 - FVM - 2 crows - Baited,2022-07-07 06:18:00,Follows 024,D:/Crow videos/025-1.MOV,2110.410,59.94,"43.182620, -79.245815",Major Green Space,2,yes, no,025,Individual 1,Away from Bait,,,STATE,0.000,1.901,1.901,,
025 - FVM - 2 crows - Baited,2022-07-07 06:18:00,Follows 024,D:/Crow videos/025-1.MOV,2110.410,59.94,"43.182620, -79.245815",Major Green Space,2,yes, no,025,Individual 1,Away from Bait,,,STATE,0.000,1.901,1.901,,
025 - FVM - 2 crows - Baited,2022-07-07 06:18:00,Follows 024,D:/Crow videos/025-1.MOV,2110.410,59.94,"43.182620, -79.245815",Major Green Space,2,yes, no,025,Individual 1,Away from Bait,,,STATE,0.000,1.901,1.901,,
026 - FVM - 2 crows - Baited,2022-07-13 06:31:00,,D:/Crow videos/026.MOV,1075.720,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,026,No focal subject,Sentinel Absent,Sentinel Behavior,,STATE,0.000,32.668,32.668,,
027 - FVM - 2 crows - Baited,2022-07-19 06:30:00,"Period of time when Individual 1 is perched, not foraging. (not coded)",D:/Crow videos/027.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes, no,027,No focal subject,Sentinel Absent,Sentinel Behavior,,STATE,0.000,1199.730,1199.730,,
027 - FVM - 2 crows - Baited,2022-07-19 06:30:00,"Period of time when Individual 1 is perched, not foraging. (not coded)",D:/Crow videos/027.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes, no,027,Individual 1,Head Up,Vigilance,,STATE,0.000,5.153,5.153,,
028 - FVM - 2 crows - Baited,2022-07-20 06:34:00,,D:/Crow videos/028.MOV,898.800,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,028,No focal subject,Sentinel Absent,Sentinel Behavior,,STATE,0.000,42.177,42.177,,
029 - FVM - 2 crows - Baited,2022-07-22 06:30:00,,D:/Crow videos/029.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,029,No focal subject,Sentinel Absent,Sentinel Behavior,,STATE,0.000,298.181,298.181,,
029 - FVM - 2 crows - Baited,2022-07-22 06:30:00,,D:/Crow videos/029.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,029,Individual 1,Moving,Vigilance,Walking,STATE,0.000,1.153,1.153,,
030 - FVM - 2 crows - Baited,2022-07-23 06:27:00,,D:/Crow videos/030.MOV,1129.330,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,030,No focal subject,Sentinel Absent,Sentinel Behavior,,STATE,0.000,93.727,93.727,,
031 - FVM - 2 crows - Baited,2022-07-26 06:37:00,,D:/Documents/Brock U - MSc/Thesis/Videos/031.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,031,No focal subject,Sentinel Present,Sentinel Behavior,Spotted,STATE,0.000,1199.756,1199.756,,
031 - FVM - 2 crows - Baited,2022-07-26 06:37:00,,D:/Documents/Brock U - MSc/Thesis/Videos/031.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,031,Individual 1,Moving,Vigilance,Flying,STATE,0.000,0.649,0.649,,
031 - FVM - 2 crows - Baited,2022-07-26 06:37:00,,D:/Documents/Brock U - MSc/Thesis/Videos/031.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,031,Individual 1,Away from Bait,,,STATE,0.000,1.428,1.428,,
031 - FVM - 2 crows - Baited,2022-07-26 06:37:00,,D:/Documents/Brock U - MSc/Thesis/Videos/031.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,031,Individual 1,Away from Bait,,,STATE,0.000,1.428,1.428,,
031 - FVM - 2 crows - Baited,2022-07-26 06:37:00,,D:/Documents/Brock U - MSc/Thesis/Videos/031.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,031,Individual 1,Away from Bait,,,STATE,0.000,1.428,1.428,,
031 - FVM - 2 crows - Baited,2022-07-26 06:37:00,,D:/Documents/Brock U - MSc/Thesis/Videos/031.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,031,Individual 1,Away from Bait,,,STATE,0.000,1.428,1.428,,
032  - Ontario St. Tim Hortons - 4 crows - No Bait,2022-07-27 06:21:00,,D:/Documents/Brock U - MSc/Thesis/Videos/032.MOV,619.720,59.94,"43.171783, -79.265237",Arterial Commercial,4, no, no,032,No focal subject,Sentinel Absent,Sentinel Behavior,,STATE,0.000,619.355,619.355,,
032  - Ontario St. Tim Hortons - 4 crows - No Bait,2022-07-27 06:21:00,,D:/Documents/Brock U - MSc/Thesis/Videos/032.MOV,619.720,59.94,"43.171783, -79.265237",Arterial Commercial,4, no, no,032,Individual 1,Moving,Vigilance,Walking,STATE,0.000,1.900,1.900,,
032  - Ontario St. Tim Hortons - 4 crows - No Bait,2022-07-27 06:21:00,,D:/Documents/Brock U - MSc/Thesis/Videos/032.MOV,619.720,59.94,"43.171783, -79.265237",Arterial Commercial,4, no, no,032,Individual 2,Head Up,Vigilance,,STATE,0.000,0.399,0.399,,
033 - NF Subways PLot - 2 crows - Baited,2022-08-02 08:32:00,,H:/Crow videos/NOT CODED vids/033.MOV,1200.050,59.94,"43.114516, -79.113412",Community Commercial,2,yes,yes,033,No focal subject,Sentinel Present,Sentinel Behavior,Spotted,STATE,0.000,96.229,96.229,,
033 - NF Subways PLot - 2 crows - Baited,2022-08-02 08:32:00,,H:/Crow videos/NOT CODED vids/033.MOV,1200.050,59.94,"43.114516, -79.113412",Community Commercial,2,yes,yes,033,Individual 1,Head Up,Vigilance,,STATE,0.000,0.153,0.153,,
033 - NF Subways PLot - 2 crows - Baited,2022-08-02 08:32:00,,H:/Crow videos/NOT CODED vids/033.MOV,1200.050,59.94,"43.114516, -79.113412",Community Commercial,2,yes,yes,033,Individual 1,Away from Bait,,,STATE,0.000,21.406,21.406,,
033 - NF Subways PLot - 2 crows - Baited,2022-08-02 08:32:00,,H:/Crow videos/NOT CODED vids/033.MOV,1200.050,59.94,"43.114516, -79.113412",Community Commercial,2,yes,yes,033,Individual 1,Away from Bait,,,STATE,0.000,21.406,21.406,,
033 - NF Subways PLot - 2 crows - Baited,2022-08-02 08:32:00,,H:/Crow videos/NOT CODED vids/033.MOV,1200.050,59.94,"43.114516, -79.113412",Community Commercial,2,yes,yes,033,Individual 1,Away from Bait,,,STATE,0.000,21.406,21.406,,
033 - NF Subways PLot - 2 crows - Baited,2022-08-02 08:32:00,,H:/Crow videos/NOT CODED vids/033.MOV,1200.050,59.94,"43.114516, -79.113412",Community Commercial,2,yes,yes,033,Individual 1,Away from Bait,,,STATE,0.000,21.406,21.406,,
034 - NF Subways PLot - 1 crow - Baited,2022-08-02 07:46:00,,H:/Crow videos/NOT CODED vids/034.MOV,1200.050,59.94,"43.114516, -79.113412",Community Commercial,1,yes, no,034,No focal subject,Sentinel Absent,Sentinel Behavior,,STATE,0.000,1199.612,1199.612,,
