Observation.id,Duration,ID,CODED_G.ENV,G.Env,CODED_NB_CROWS,Number.of.Crows,CODED_BAIT,Baited,CODED_SENTINEL,Sentinel,Behavior,CODED_BEHAVIOR
024 - FVM - 2 crows - No Bait,2.029,24,0,Green Area,0,2,0,N,1,Y,HU,2
024 - FVM - 2 crows - No Bait,3.995,24,0,Green Area,0,2,0,N,1,Y,HU,2
024 - FVM - 2 crows - No Bait,7.994,24,0,Green Area,0,2,0,N,1,Y,HU,2
024 - FVM - 2 crows - No Bait,0.498,24,0,Green Area,0,2,0,N,1,Y,HU,2
024 - FVM - 2 crows - No Bait,7.773,24,0,Green Area,0,2,0,N,1,Y,HU,2
024 - FVM - 2 crows - No Bait,3.021,24,0,Green Area,0,2,0,N,1,Y,HU,2
024 - FVM - 2 crows - No Bait,5.481,24,0,Green Area,0,2,0,N,1,Y,HU,2
026 - FVM - 2 crows - Baited,1.775,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,1.755,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,0.497,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,0.513,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,0.492,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,0.499,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,1.007,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,0.001,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,0.499,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,0.5,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,0.999,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,0.502,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,0.252,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,2.249,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,1.248,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,0.248,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,2.001,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,2.752,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,1.997,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,1.75,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,1.523,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,1.494,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,0.737,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,0.738,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,1.999,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,0.5,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,0.737,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,0.765,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,1.259,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,2.5,26,0,Green Area,0,1,1,Y,1,Y,HU,2
