Observation id,Comment,Start time,Stop time,Duration (s)
007 - Short Hills Vineyard - 1 crow - No Bait,,0.0,2.223,2.223
007 - Short Hills Vineyard - 1 crow - No Bait,,3.389,6.889,3.500
007 - Short Hills Vineyard - 1 crow - No Bait,,8.393,9.143,0.750
007 - Short Hills Vineyard - 1 crow - No Bait,,10.147,17.925,7.778
007 - Short Hills Vineyard - 1 crow - No Bait,,18.924,23.908,4.984
007 - Short Hills Vineyard - 1 crow - No Bait,,24.937,32.167,7.230
007 - Short Hills Vineyard - 1 crow - No Bait,,33.454,36.446,2.992
007 - Short Hills Vineyard - 1 crow - No Bait,,37.949,43.948,5.999
007 - Short Hills Vineyard - 1 crow - No Bait,,45.949,49.449,3.500
007 - Short Hills Vineyard - 1 crow - No Bait,,127.013,129.514,2.501
007 - Short Hills Vineyard - 1 crow - No Bait,,131.767,136.549,4.782
007 - Short Hills Vineyard - 1 crow - No Bait,,148.033,154.549,6.516
007 - Short Hills Vineyard - 1 crow - No Bait,,158.058,165.06,7.002
007 - Short Hills Vineyard - 1 crow - No Bait,,166.05,166.802,0.752
007 - Short Hills Vineyard - 1 crow - No Bait,,167.303,168.302,0.999
007 - Short Hills Vineyard - 1 crow - No Bait,,186.558,203.097,16.539
007 - Short Hills Vineyard - 1 crow - No Bait,,212.099,213.096,0.997
007 - Short Hills Vineyard - 1 crow - No Bait,,215.626,222.122,6.496
007 - Short Hills Vineyard - 1 crow - No Bait,,247.161,250.633,3.472
007 - Short Hills Vineyard - 1 crow - No Bait,,251.171,254.639,3.468
007 - Short Hills Vineyard - 1 crow - No Bait,,255.663,257.392,1.729
007 - Short Hills Vineyard - 1 crow - No Bait,,260.17,264.664,4.494
007 - Short Hills Vineyard - 1 crow - No Bait,,270.17,273.83,3.660
013 - First St Louth Farm - 3 crows - No Bait,,18.925,30.935,12.010
013 - First St Louth Farm - 3 crows - No Bait,,34.048,36.916,2.868
013 - First St Louth Farm - 3 crows - No Bait,,38.425,41.424,2.999
013 - First St Louth Farm - 3 crows - No Bait,,45.423,53.67,8.247
013 - First St Louth Farm - 3 crows - No Bait,,54.673,61.692,7.019
013 - First St Louth Farm - 3 crows - No Bait,,61.942,66.953,5.011
013 - First St Louth Farm - 3 crows - No Bait,,67.445,70.456,3.011
013 - First St Louth Farm - 3 crows - No Bait,,74.929,86.486,11.557
013 - First St Louth Farm - 3 crows - No Bait,,86.99,91.477,4.487
013 - First St Louth Farm - 3 crows - No Bait,,93.717,98.495,4.778
013 - First St Louth Farm - 3 crows - No Bait,,99.997,101.998,2.001
013 - First St Louth Farm - 3 crows - No Bait,,103.223,111.748,8.525
013 - First St Louth Farm - 3 crows - No Bait,,118.028,139.02,20.992
013 - First St Louth Farm - 3 crows - No Bait,,141.02,142.52,1.500
013 - First St Louth Farm - 3 crows - No Bait,,144.019,146.553,2.534
013 - First St Louth Farm - 3 crows - No Bait,,147.556,149.056,1.500
013 - First St Louth Farm - 3 crows - No Bait,,164.561,171.8,7.239
013 - First St Louth Farm - 3 crows - No Bait,,176.57,185.061,8.491
013 - First St Louth Farm - 3 crows - No Bait,,190.797,194.565,3.768
013 - First St Louth Farm - 3 crows - No Bait,,195.065,197.553,2.488
013 - First St Louth Farm - 3 crows - No Bait,,199.057,207.056,7.999
013 - First St Louth Farm - 3 crows - No Bait,,208.559,211.554,2.995
013 - First St Louth Farm - 3 crows - No Bait,,215.557,216.057,0.500
013 - First St Louth Farm - 3 crows - No Bait,,220.057,222.057,2.000
013 - First St Louth Farm - 3 crows - No Bait,,223.057,234.061,11.004
013 - First St Louth Farm - 3 crows - No Bait,,237.647,249.37,11.723
013 - First St Louth Farm - 3 crows - No Bait,,252.048,258.391,6.343
013 - First St Louth Farm - 3 crows - No Bait,,259.39,267.143,7.753
013 - First St Louth Farm - 3 crows - No Bait,,267.552,300.929,33.377
013 - First St Louth Farm - 3 crows - No Bait,,302.178,304.18,2.002
013 - First St Louth Farm - 3 crows - No Bait,,304.681,309.722,5.041
013 - First St Louth Farm - 3 crows - No Bait,,312.207,317.207,5.000
013 - First St Louth Farm - 3 crows - No Bait,,317.441,318.455,1.014
013 - First St Louth Farm - 3 crows - No Bait,,318.708,319.706,0.998
013 - First St Louth Farm - 3 crows - No Bait,,319.722,329.705,9.983
013 - First St Louth Farm - 3 crows - No Bait,,330.233,344.731,14.498
013 - First St Louth Farm - 3 crows - No Bait,,346.73,357.262,10.532
013 - First St Louth Farm - 3 crows - No Bait,,361.256,362.752,1.496
013 - First St Louth Farm - 3 crows - No Bait,,365.249,367.255,2.006
013 - First St Louth Farm - 3 crows - No Bait,,374.779,377.282,2.503
013 - First St Louth Farm - 3 crows - No Bait,,382.272,383.507,1.235
013 - First St Louth Farm - 3 crows - No Bait,,406.791,411.287,4.496
013 - First St Louth Farm - 3 crows - No Bait,,413.295,421.552,8.257
013 - First St Louth Farm - 3 crows - No Bait,,423.751,432.253,8.502
013 - First St Louth Farm - 3 crows - No Bait,,434.331,451.751,17.420
013 - First St Louth Farm - 3 crows - No Bait,,454.753,459.343,4.590
013 - First St Louth Farm - 3 crows - No Bait,,459.344,461.096,1.752
013 - First St Louth Farm - 3 crows - No Bait,,466.375,469.854,3.479
013 - First St Louth Farm - 3 crows - No Bait,,484.874,486.376,1.502
013 - First St Louth Farm - 3 crows - No Bait,,500.874,502.367,1.493
013 - First St Louth Farm - 3 crows - No Bait,,505.372,506.888,1.516
020 - FVM - 2 crows - No Bait,,2.386,3.638,1.252
020 - FVM - 2 crows - No Bait,,5.903,8.654,2.751
020 - FVM - 2 crows - No Bait,,9.903,11.404,1.501
020 - FVM - 2 crows - No Bait,,12.405,17.401,4.996
020 - FVM - 2 crows - No Bait,,26.652,27.402,0.750
020 - FVM - 2 crows - No Bait,,47.433,47.929,0.496
020 - FVM - 2 crows - No Bait,,47.93,49.185,1.255
020 - FVM - 2 crows - No Bait,,56.691,58.189,1.498
020 - FVM - 2 crows - No Bait,,58.932,59.937,1.005
020 - FVM - 2 crows - No Bait,,60.446,61.444,0.998
020 - FVM - 2 crows - No Bait,,64.931,72.207,7.276
020 - FVM - 2 crows - No Bait,,74.714,76.211,1.497
024 - FVM - 2 crows - No Bait,,6.154,7.642,1.488
024 - FVM - 2 crows - No Bait,,22.424,24.422,1.998
