Observation id,Comment,Start time,Stop time,Duration (s)
024 - FVM - 2 crows - No Bait,,113.503,113.508,0.005
024 - FVM - 2 crows - No Bait,,115.539,117.53,1.991
024 - FVM - 2 crows - No Bait,,133.023,135.25,2.227
026 - FVM - 2 crows - Baited,,36.441,39.17,2.729
026 - FVM - 2 crows - Baited,,40.927,42.678,1.751
026 - FVM - 2 crows - Baited,,43.177,44.179,1.002
026 - FVM - 2 crows - Baited,,45.452,46.452,1.000
026 - FVM - 2 crows - Baited,,46.946,47.951,1.005
026 - FVM - 2 crows - Baited,,48.452,49.946,1.494
026 - FVM - 2 crows - Baited,,50.955,52.452,1.497
026 - FVM - 2 crows - Baited,,52.453,54.188,1.735
026 - FVM - 2 crows - Baited,,54.689,56.436,1.747
026 - FVM - 2 crows - Baited,,56.938,57.689,0.751
026 - FVM - 2 crows - Baited,,58.69,60.435,1.745
026 - FVM - 2 crows - Baited,,60.939,61.936,0.997
026 - FVM - 2 crows - Baited,,62.19,62.939,0.749
026 - FVM - 2 crows - Baited,,65.19,65.7,0.510
026 - FVM - 2 crows - Baited,,67.95,69.198,1.248
026 - FVM - 2 crows - Baited,,71.201,73.198,1.997
026 - FVM - 2 crows - Baited,,75.952,77.7,1.748
026 - FVM - 2 crows - Baited,,79.699,82.199,2.500
026 - FVM - 2 crows - Baited,,83.951,85.449,1.498
026 - FVM - 2 crows - Baited,,86.974,87.968,0.994
026 - FVM - 2 crows - Baited,,89.724,92.491,2.767
026 - FVM - 2 crows - Baited,,93.23,94.989,1.759
026 - FVM - 2 crows - Baited,,95.729,96.226,0.497
026 - FVM - 2 crows - Baited,,98.227,99.726,1.499
026 - FVM - 2 crows - Baited,,100.228,100.991,0.763
026 - FVM - 2 crows - Baited,,101.73,103.727,1.997
026 - FVM - 2 crows - Baited,,104.494,107.228,2.734
026 - FVM - 2 crows - Baited,,108.489,109.991,1.502
026 - FVM - 2 crows - Baited,,112.493,113.491,0.998
026 - FVM - 2 crows - Baited,,114.995,115.728,0.733
026 - FVM - 2 crows - Baited,,116.73,118.49,1.760
026 - FVM - 2 crows - Baited,,119.228,119.728,0.500
026 - FVM - 2 crows - Baited,,122.087,123.506,1.419
026 - FVM - 2 crows - Baited,,135.529,136.764,1.235
026 - FVM - 2 crows - Baited,,137.263,139.259,1.996
026 - FVM - 2 crows - Baited,,139.76,142.259,2.499
028 - FVM - 2 crows - Baited,,55.679,57.928,2.249
028 - FVM - 2 crows - Baited,,65.583,66.955,1.372
028 - FVM - 2 crows - Baited,,68.96,69.704,0.744
028 - FVM - 2 crows - Baited,,74.702,75.706,1.004
028 - FVM - 2 crows - Baited,,87.713,88.986,1.273
028 - FVM - 2 crows - Baited,,106.012,110.014,4.002
028 - FVM - 2 crows - Baited,,111.517,113.015,1.498
028 - FVM - 2 crows - Baited,,114.011,114.516,0.505
029 - FVM - 2 crows - Baited,,315.7,316.448,0.748
029 - FVM - 2 crows - Baited,,317.199,318.948,1.749
029 - FVM - 2 crows - Baited,,319.449,320.7,1.251
029 - FVM - 2 crows - Baited,,322.241,322.956,0.715
029 - FVM - 2 crows - Baited,,324.209,325.459,1.250
029 - FVM - 2 crows - Baited,,326.276,326.955,0.679
029 - FVM - 2 crows - Baited,,327.778,329.456,1.678
029 - FVM - 2 crows - Baited,,329.782,330.458,0.676
029 - FVM - 2 crows - Baited,,331.31,332.458,1.148
029 - FVM - 2 crows - Baited,,333.458,334.458,1.000
029 - FVM - 2 crows - Baited,,335.206,337.21,2.004
029 - FVM - 2 crows - Baited,,339.709,340.458,0.749
029 - FVM - 2 crows - Baited,,343.724,345.476,1.752
029 - FVM - 2 crows - Baited,,348.476,349.973,1.497
029 - FVM - 2 crows - Baited,,354.476,355.227,0.751
030 - FVM - 2 crows - Baited,,106.237,107.235,0.998
030 - FVM - 2 crows - Baited,,111.996,113.735,1.739
030 - FVM - 2 crows - Baited,,114.499,115.236,0.737
030 - FVM - 2 crows - Baited,,116.238,117.995,1.757
030 - FVM - 2 crows - Baited,,119.236,119.999,0.763
030 - FVM - 2 crows - Baited,,120.499,121.237,0.738
030 - FVM - 2 crows - Baited,,122.496,123.999,1.503
030 - FVM - 2 crows - Baited,,125.759,127.009,1.250
030 - FVM - 2 crows - Baited,,128.508,131.007,2.499
030 - FVM - 2 crows - Baited,,139.261,140.019,0.758
030 - FVM - 2 crows - Baited,,141.025,142.025,1.000
030 - FVM - 2 crows - Baited,,142.526,144.761,2.235
030 - FVM - 2 crows - Baited,,145.261,148.761,3.500
030 - FVM - 2 crows - Baited,,149.26,151.259,1.999
030 - FVM - 2 crows - Baited,,151.523,153.019,1.496
030 - FVM - 2 crows - Baited,,154.02,155.52,1.500
030 - FVM - 2 crows - Baited,,156.02,158.519,2.499
030 - FVM - 2 crows - Baited,,159.263,160.262,0.999
030 - FVM - 2 crows - Baited,,164.262,165.261,0.999
030 - FVM - 2 crows - Baited,,165.519,166.525,1.006
030 - FVM - 2 crows - Baited,,166.763,168.518,1.755
030 - FVM - 2 crows - Baited,,169.761,170.524,0.763
030 - FVM - 2 crows - Baited,,171.021,172.024,1.003
030 - FVM - 2 crows - Baited,,181.057,181.806,0.749
030 - FVM - 2 crows - Baited,,182.308,183.305,0.997
030 - FVM - 2 crows - Baited,,187.807,188.307,0.500
030 - FVM - 2 crows - Baited,,191.308,191.811,0.503
030 - FVM - 2 crows - Baited,,194.078,195.57,1.492
030 - FVM - 2 crows - Baited,,196.075,197.81,1.735
030 - FVM - 2 crows - Baited,,198.811,201.571,2.760
030 - FVM - 2 crows - Baited,,203.571,206.81,3.239
030 - FVM - 2 crows - Baited,,207.809,210.808,2.999
030 - FVM - 2 crows - Baited,,211.31,213.812,2.502
030 - FVM - 2 crows - Baited,,214.57,215.568,0.998
031 - FVM - 2 crows - Baited,,5.4,6.399,0.999
031 - FVM - 2 crows - Baited,,7.14,7.889,0.749
031 - FVM - 2 crows - Baited,,11.391,12.639,1.248
031 - FVM - 2 crows - Baited,,14.394,15.139,0.745
031 - FVM - 2 crows - Baited,,16.399,17.399,1.000
031 - FVM - 2 crows - Baited,,17.911,18.648,0.737
031 - FVM - 2 crows - Baited,,20.403,21.152,0.749
031 - FVM - 2 crows - Baited,,26.655,27.905,1.250
031 - FVM - 2 crows - Baited,,29.655,30.154,0.499
031 - FVM - 2 crows - Baited,,30.918,31.405,0.487
031 - FVM - 2 crows - Baited,,32.655,34.656,2.001
031 - FVM - 2 crows - Baited,,35.418,36.167,0.749
031 - FVM - 2 crows - Baited,,37.419,39.167,1.748
031 - FVM - 2 crows - Baited,,39.668,40.918,1.250
031 - FVM - 2 crows - Baited,,41.672,42.167,0.495
031 - FVM - 2 crows - Baited,,42.419,44.167,1.748
031 - FVM - 2 crows - Baited,,46.668,48.167,1.499
031 - FVM - 2 crows - Baited,,48.672,49.681,1.009
031 - FVM - 2 crows - Baited,,50.182,51.181,0.999
