WKT,Description
POINT(-79.113412 43.114516),033
POINT(-79.113412 43.114516),034
POINT(-79.237330 43.139716),039
POINT(-79.265237 43.171783),032
POINT(-79.242460 43.176775),042
POINT(-79.266689 43.177240),043
POINT(-79.265514 43.177676),043-2
POINT(-79.265514 43.177676),045
POINT(-79.239655 43.177779),038-2
POINT(-79.239675 43.177786),037-2
POINT(-79.240608 43.178229),040
POINT(-79.239195 43.178470),038
POINT(-79.239173 43.178580),037
POINT(-79.244033 43.180794),041
POINT(-79.213456 43.214244),035
