AUTHORS,TITLE,JOURNAL,VOLUME,LPAGES,UPAGES,DOI,YEAR,ABSTRACT
"van der Marel, Annemarie; Waterman, Jane M.; Lopez-Darias, Marta",Barbary ground squirrels do not have a sentinel system but instead synchronize vigilance,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,75,,,10.1007/s00265-021-03094-1,2021,"Coordinated behaviors, such as hunting in lions and coordinated vigilance as antipredator behavior, are examples of benefits of group-living. Instead of asynchronous vigilance, some social species synchronize their vigilance bouts or take turns acting as sentinels. To increase our knowledge on the evolution of vigilance behavior, we studied whether vigilance is coordinated in Barbary ground squirrels, Atlantoxerus getulus. We show that vigilance was synchronized instead of taking turns. Multiple non-mutually exclusive hypotheses could explain synchronization: Barbary ground squirrels may perch because (1) neighbors are perched (copying effect), (2) perch synchrony may be an emergent property of the ecology as all squirrels may be satiated at the same time (collective behavior), or (3) the benefits are large in terms of evading ambush predators and scanning effectiveness (watch each other's back). Particularly, in habitats where the field of view is obstructed by man-made structures and multiple individuals may be necessary to watch for terrestrial predators, synchronized vigilance may have greater fitness benefits than sentinel behavior. We conclude that it is essential to test assumptions of coordination and, thus, to analyze coordination to describe sentinel systems. Significance statement Vigilance behavior can be vital to an animal's survival. Taking turns acting as sentinels or synchronizing vigilance bouts reduces the cost of the trade-off between feeding and predation risk. A sentinel system assumes that sentinels are vigilant from raised positions, warn group members of danger, and alternate vigilance bouts. However, the assumption of alternating vigilance bouts remains poorly tested. We tested this assumption in invasive Barbary ground squirrels. We found that instead of alternating, individuals synchronized their vigilance bouts. Perch synchrony may be (1) a response to perching group members (copying effect), (2) an emergent property of the species' ecology, and (3) an adaptation to anthropogenically altered habitats (watch each other's back)."
"Lee, Alan Tristram Kenneth",SENTINEL BEHAVIOR OR VIGILANCE AT A MACAW CLAYLICK?,ORNITOLOGIA NEOTROPICAL,28,253,260,,2017,"Sentinel behavior (co-ordinated vigilance) has been observed for a range of bird species living in family groups, usually in arid environments, but the behavior has never been formally identified for parrots. Riverside clay-licks are sites where parrots and other species congregate to consume soil, usually in large numbers. Birds feeding on the clay are vulnerable to attack from predators. The Red-and-green Macaw Ara chloropterus can be observed in the vicinity of claylicks for much of the morning, although they spend only a small amount of time feeding on the clay itself. I investigated patterns of vigilance at a riverside claylick in Peru to test whether or not the birds engage in true sentinel behavior. There was no evidence for coordination of vigilance, and overall vigilance increased with the presence of more birds on the claylick, contrary to expectation. In addition, tall perches that should serve as sentinel positions were generally occupied less when birds were feeding on the claylick, and the probability of birds on the clay increased with increasing group size. Probability of calling, which could include warning information, was not higher as a function of bird presence on the clay, but was best explained by group size. All macaws maintained a generally high state of vigilance in the vicinity of the claylick, suggesting there was no reliance on a sentinel system. Further work is needed to understand the dynamics of this behavior for this species at one of southeastern Peru's most important ecotourism resources."
"MCGOWAN, KJ; WOOLFENDEN, GE",A SENTINEL SYSTEM IN THE FLORIDA SCRUB JAY,ANIMAL BEHAVIOUR,37,1000,1006,10.1016/0003-3472(89)90144-9,1989,
"Santema, Peter; Clutton-Brock, Tim",Meerkat helpers increase sentinel behaviour and bipedal vigilance in the presence of pups,ANIMAL BEHAVIOUR,85,655,661,10.1016/j.anbehav.2012.12.029,2013,"Helpers in cooperatively breeding species may assist in a number of cooperative activities, such as nest building, incubating, babysitting and feeding of offspring. In addition, individuals may engage in sentinel behaviour and other forms of vigilance, which benefits other group members not only by reducing the risk of predation, but also by allowing them to reduce their own vigilance. It remains unclear, however, whether these vigilance behaviours are selfish, and the benefits to other group members simply an unselected by-product, or whether they are forms of cooperation, and the benefits to group members a selective force favouring the behaviour. In meerkats, Suricata suricatta, both female and male helpers were more likely to perform sentinel behaviour after dependent pups had started joining the group on foraging trips. In addition, female helpers performed more bipedal vigilance and found less food when pups were in the group. These results suggest that sentinel behaviour and bipedal vigilance represent forms of cooperation in meerkats. (C) 2013 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved."
"Rauber, Ramona; Manser, Marta B.",Effect of group size and experience on the ontogeny of sentinel calling behaviour in meerkats,ANIMAL BEHAVIOUR,171,129,138,10.1016/j.anbehav.2020.11.014,2021,"Increased vulnerability to predation results in young individuals of many species experiencing higher predation pressure than adults. Consequently, the production of antipredator-related calls by young can differ from that of the same vocalizations given by adults. Sentinel behaviour is a coordinated vigilance behaviour, where one individual climbs on an elevated position and scans the surroundings for predators, while the rest of the group is mainly foraging. Meerkat, Suricata suricatta, sentinels produce six distinct sentinel call types, which inform other group members about the perceived predation risk, resulting in the adjustment of personal vigilance behaviour in foraging group members. Here, we investigated the onset of sentinel behaviour and the ontogeny of the different sentinel call types as well as the development of individual vocal signatures in meerkats. We found that meerkats started acting as a sentinel around 200 days of age, but this was highly dependent on group size, with individuals from smaller groups exhibiting sentinel behaviour earlier than individuals from larger groups. All six sentinel call types were already present in the repertoire upon first emergence of the behaviour; however, call rates of 'all-clear' calls increased while 'warning' calls decreased with increasing experience as sentinel. Analysis of one of the most frequent sentinel calls, the double note calls, indicated that fundamental frequency, mean amplitude, duration and entropy differed consistently between individuals, but we found no effect of age. Rather, our results provide evidence that individual signatures in this call type were already developed when young meerkats first started to act as sentinel and changed little with age. To conclude, we showed little ontogenetic change in overall sentinel behaviour as well as in its vocal coordination, indicating potentially high selection pressures on antipredator behaviours, such as the sentinel system, resulting in consistent behavioural responses upon first emergence. (C) 2020 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved."
"Rebassa, A.; Colell, M.; Munar, E.; Cela, C. J.",Sentinel Behaviour in Hamadryas Baboons (Papio hamadryas): Is It Really an Altruistic Behaviour?,FOLIA PRIMATOLOGICA,82,380,380,,2011,
"Manser, MB","Response of foraging group members to sentinel calls in suricates, Suricata suricatta",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,266,1013,1019,10.1098/rspb.1999.0737,1999,"In the suricate (Suricata suricatta), a cooperatively breeding mongoose, one individual typically watches out for predators while the rest of the group is foraging. Most of the time these sentinels announce their guarding duty with special vocalizations. The response of foraging group members to these calls was investigated by analysing observational data, and by performing playback experiments. The use of special calls by sentinels, and the responses of the foraging group members to them, suggest that the coordination of vigilance is strongly influenced by vocal communication. Sentinel calls decreased the time spent alert by the foraging group members. Other group members were less likely to go on guard when a sentinel was vocalizing Both the proportion of time during which guards overlapped, and the proportion of time the group was unprotected without a guard, decreased when sentinels announced their duty, due to better coordination of the rotation of sentinels. Suricates, however, do not appear to use sentinel calls to mediate a strict rotation of guarding duty."
"Rauber, Ramona; Clutton-Brock, Tim H.; Manser, Marta B.",Drought decreases cooperative sentinel behavior and affects vocal coordination in meerkats,BEHAVIORAL ECOLOGY,30,1558,1566,10.1093/beheco/arz112,2019,"Cooperative breeding often evolved in harsh and arid habitats characterized by high levels of environmental uncertainty. Most forms of cooperative behavior have energetic costs and previous studies have shown that the contributions of individuals to alloparental provisioning are conditional on their food intake. However, the effect of naturally occurring, extreme environmental conditions on the persistence of costly forms of cooperative behaviors and their coordination by communication remain unknown. Here, we show that in meerkats (Suricata suricatta) the probability to act as sentinel, a cooperative vigilance behavior, was the same for typically occurring dry and wet conditions, but significantly reduced during a drought condition with almost no rain, especially in young individuals, members of small groups and groups with pups. The duration an individual stayed on sentinel guard, however, was most reduced during dry conditions. Besides reductions in sentinel behavior, the vocal coordination of foraging meerkats differed when comparing drought and wet conditions. Individuals responded more strongly to playbacks of sentinel all-clear calls and close calls, resulting in less vigilance and more foraging behavior during the drought condition. We conclude that while meerkats are adapted to commonly occurring dry periods with low rainfall, the extreme drought period with almost no rain, led to a decrease of the frequency of costly forms of cooperative behaviors in favor of behaviors that maximize direct fitness benefits and also affected the vocal coordination among group members."
"Fox, R. J.; Donelson, J. M.",Rabbitfish sentinels: first report of coordinated vigilance in conspecific marine fishes,CORAL REEFS,33,253,253,10.1007/s00338-013-1108-z,2014,
"YASUKAWA, K; WHITTENBERGER, LK; NIELSEN, TA","ANTIPREDATOR VIGILANCE IN THE RED-WINGED BLACKBIRD, AGELAIUS-PHOENICEUS - DO MALES ACT AS SENTINELS",ANIMAL BEHAVIOUR,43,961,969,10.1016/0003-3472(92)90009-X,1992,
