"STUDY_ID","REVIEWERS","INCLUDE","AUTHORS","TITLE","JOURNAL","VOLUME","LPAGES","UPAGES","DOI","YEAR","ABSTRACT"
"1","Alex 3","YES","Wright, J; Berg, E; De Kort, SR; Khazin, V; Maklakov, AA","Cooperative sentinel behaviour in the Arabian babbler","ANIMAL BEHAVIOUR","62","973","979","10.1006/anbe.2001.1838","2001","Cooperative sentinel behaviour in Arabian babblers, Turdoides squamiceps, appears generally consistent with state-dependent models of individually selfish antipredator behaviour. We examined further detailed aspects of this cooperative behaviour, including the suggestion that by engaging in this behaviour sentinels advertise their status and gain social prestige. Chosen sentinel locations were higher, but no more exposed, than the best alternative locations within 25 m. Sentinels started off closer to the centre of the foraging group than when sentinel bouts were terminated. Change-overs between sentinels were nearly always due to previous sentinels terminating their own bout. On the rare occasions when bouts were interrupted by upcoming sentinels, physical contact or aggression was extremely rare. Dominant males tended to terminate sentinel bouts of other birds, interrupting especially the dominant females. Other than this, there was no effect of an individual's sex or dominance rank on any aspect of sentinel change-overs or location choice when acting as a sentinel. There were also no differences in any sentinel activity between simple family groups, and those more complex nonfamily groups within which individuals compete for reproduction. Rates of alarm calling did not differ between group members, although dominant males did make more territorial calls to neighbouring groups while acting as a sentinel. Therefore, we found relatively little evidence that individuals compete for the chance to act as a sentinel as a means of showing off within groups of Arabian babblers. Instead, our study confirms the primary function of sentinels as a system of cooperative vigilance. (C) 2001 The Association for the Study of Animal Behaviour."
"2","Alex 3","NO","Bednekoff, Peter A.; Bowman, Reed; Woolfenden, Glen E.","Do conversational gutturals help florida scrub-jays coordinate their sentinel behavior?","ETHOLOGY","114","313","317","10.1111/j.1439-0310.2008.01467.x","2008","Florida scrub-jays, Aphelocoma coerulescens, perform sentinel behavior in which individuals alternate bouts of watchfulness with little overlap. We examined how calls might facilitate sentinel coordination. Small soft calls labeled conversational gutturals were heard more often from sentinels than from foraging birds. Calls occurred infrequently throughout sentinel bouts but were more common later in bouts. The pattern of calling does not match predictions for a 'watchman's song' at regular intervals nor for a signal at the end of a sentinel bout. Thus, our quantitative assessment of calling by sentinels did not find support for either standard hypothesis. Although Florida scrub-jays clearly have information on each other's sentinel behavior, our results suggest that calls provide perhaps a fraction of this information."
"3","Alex 3","YES","Wright, J; Berg, E; de Kort, SR; Khazin, V; Maklakov, AA","Safe selfish sentinels in a cooperative bird","JOURNAL OF ANIMAL ECOLOGY","70","1070","1079","10.1046/j.0021-8790.2001.00565.x","2001","1. Sentinel behaviour involves a unique cooperative system of dedicated look-outs which protect members of their social group from attack by predators. Using detailed observations from groups of Arabian babblers, Turdoides squamiceps, we tested the original theoretical suggestion that cooperative sentinel systems are simply the result of individually selfish state-dependent patterns of behaviour.2. Sentinel effort and the number of sentinel bouts per individual per hour were greater for males than females, and both increased with individual dominance status within the group.3. Sentinel behaviour was unaffected by group social structure, in terms of patterns of relatedness and the number of potential breeders.4. Total group sentinel effort increased with group size, while the effort per individual decreased irrespective of sex and dominance rank. Simultaneous sentinel behaviour by two or more birds was very rare, but increased with group size.5. Sentinel effort followed seasonal fluctuations in food availability, but not peaks of raptor migration through the study site.6. Body mass was greater for males than females and was positively related to dominance rank. Overall, body mass explained much of the variation in individual sentinel effort both within and between birds. However, data on individual foraging performance could not be related to changes in body mass and thus to differences in sentinel effort.7. Sentinel behaviour in groups of Arabian babblers therefore confirms many of the predictions arising from state-dependent models of cooperative, yet individually selfish, sentinel behaviour."
"4","Alex 3","YES","Bednekoff, PA; Woolfenden, GE","Florida scrub-jays (Aphelocoma coerulescens) are sentinels more when well-fed (even with no kin nearby)","ETHOLOGY","109","895","903","10.1046/j.0179-1613.2003.00926.x","2003","Sentinels occupy high, exposed positions while other group members forage nearby. If sentinel behavior involves a foraging-predation risk trade-off, animals should be sentinels more when fed supplemental food. When individual Florida scrub-jays (Aphelocoma coerulescens) were fed fragments of peanuts, during the following 30 min they shifted 30% of their time from foraging to sentinel behavior. In a follow-up experiment, we fed either one or two members in each group. As before, the jays reduced their foraging and spent much more time as sentinels when given supplemental food. In each treatment, pairs were sentinels simultaneously considerably less often than expected by chance. The dramatic shift from foraging to sentinel behavior suggests that for Florida scrub-jays sentinel behavior brings substantial benefits for no greater cost than that of lost opportunities to forage. Because the results held for simple mated pairs of scrub-jays, we argue that kin selection and social prestige are not necessary to explain sentinel behavior."
"5","Alex 3","NO","Manser, MB","Response of foraging group members to sentinel calls in suricates, Suricata suricatta","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","266","1013","1019","10.1098/rspb.1999.0737","1999","In the suricate (Suricata suricatta), a cooperatively breeding mongoose, one individual typically watches out for predators while the rest of the group is foraging. Most of the time these sentinels announce their guarding duty with special vocalizations. The response of foraging group members to these calls was investigated by analysing observational data, and by performing playback experiments. The use of special calls by sentinels, and the responses of the foraging group members to them, suggest that the coordination of vigilance is strongly influenced by vocal communication. Sentinel calls decreased the time spent alert by the foraging group members. Other group members were less likely to go on guard when a sentinel was vocalizing Both the proportion of time during which guards overlapped, and the proportion of time the group was unprotected without a guard, decreased when sentinels announced their duty, due to better coordination of the rotation of sentinels. Suricates, however, do not appear to use sentinel calls to mediate a strict rotation of guarding duty."
"6","Alex 3","YES","HAILMAN, JP; MCGOWAN, KJ; WOOLFENDEN, GE","ROLE OF HELPERS IN THE SENTINEL BEHAVIOR OF THE FLORIDA SCRUB JAY (APHELOCOMA C COERULESCENS)","ETHOLOGY","97","119","140",NA,"1994","Two independently conceived and executed field studies using somewhat different methodologies tested the hypothesis that non-breeding helpers of the Florida scrub jay (Aphelocoma c. coerulescens) contribute importantly to antipredator sentinel behaviour. Specifically, we made four predictions: 1. Helpers participate to a non-trivial degree in sentinel behaviour; 2. Breeding pairs with helpers spend less time on sentinel behaviour and hence more time foraging; 3. Breeders with helpers have more protected foraging time; and 4. Groups with helpers have greater total sentinel time.Results of the two studies agreed on most major points and even, in many cases, on minor points and quantitative aspects. Non-breeding adult helper birds participated in sentinel watches almost as much as breeders in their group. In winter, breeding pairs with one or more helpers decreased their own sentinel time compared with that of unassisted pairs. However, in the one study, the concomitantly increased available foraging time of breeders was no better protected by another group member being on sentinel than in the lone pairs. Results of the other study showed a significant increase of protected foraging time for breeding males only. In winter, groups with helpers did not have increased total sentinel time; time was either the same (Study A) or significantly less (Study B). During nesting, breeders with helpers did not, decrease their sentinel effort relative to lone pairs. Instead, groups with helpers had a sentinel for more time. These results are interpreted as indicating that, in winter, sentinel behaviour is more important to antiraptor defense in lone pairs than larger groups. In groups with helpers the mere addition of extra pairs of eyes and ears may render formal sentinel behaviour less necessary, so breeders can decrease their sentinel time and increase their foraging time. During nesting, additional sentinels may be important for increased nest protection. The presence of helpers contributing to predator detection may thus be an important factor in the better annual survival and nesting success of breeders that have helpers (WOOLFENDEN & FITZPATRICK 1984)."
"7","Alex 3","NO","Rauber, Ramona; Manser, Marta B.","Effect of group size and experience on the ontogeny of sentinel calling behaviour in meerkats","ANIMAL BEHAVIOUR","171","129","138","10.1016/j.anbehav.2020.11.014","2021","Increased vulnerability to predation results in young individuals of many species experiencing higher predation pressure than adults. Consequently, the production of antipredator-related calls by young can differ from that of the same vocalizations given by adults. Sentinel behaviour is a coordinated vigilance behaviour, where one individual climbs on an elevated position and scans the surroundings for predators, while the rest of the group is mainly foraging. Meerkat, Suricata suricatta, sentinels produce six distinct sentinel call types, which inform other group members about the perceived predation risk, resulting in the adjustment of personal vigilance behaviour in foraging group members. Here, we investigated the onset of sentinel behaviour and the ontogeny of the different sentinel call types as well as the development of individual vocal signatures in meerkats. We found that meerkats started acting as a sentinel around 200 days of age, but this was highly dependent on group size, with individuals from smaller groups exhibiting sentinel behaviour earlier than individuals from larger groups. All six sentinel call types were already present in the repertoire upon first emergence of the behaviour; however, call rates of 'all-clear' calls increased while 'warning' calls decreased with increasing experience as sentinel. Analysis of one of the most frequent sentinel calls, the double note calls, indicated that fundamental frequency, mean amplitude, duration and entropy differed consistently between individuals, but we found no effect of age. Rather, our results provide evidence that individual signatures in this call type were already developed when young meerkats first started to act as sentinel and changed little with age. To conclude, we showed little ontogenetic change in overall sentinel behaviour as well as in its vocal coordination, indicating potentially high selection pressures on antipredator behaviours, such as the sentinel system, resulting in consistent behavioural responses upon first emergence. (C) 2020 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved."
"8","Alex 3","NO","Ridley, Amanda R.; Nelson-Flower, Martha J.; Thompson, Alex M.","Is sentinel behaviour safe? An experimental investigation","ANIMAL BEHAVIOUR","85","137","142","10.1016/j.anbehav.2012.10.017","2013","Sentinel behaviour, where individuals take turns to watch for danger and give alarm calls to approaching predators, has been observed in a number of animal societies. However, the evolutionary causes of this behaviour remain unclear. There are two main, competing hypotheses regarding the evolution of sentinel behaviour. The first hypothesis is that it is a cooperative behaviour, where group members benefit from the detection of danger but share the workload of acting as a sentinel. The second is that it is a safe, selfish behaviour. Under the second hypothesis, once an individual is satiated, being a sentinel is safer because sentinels can detect threats more readily and can therefore escape from predators faster. We examined whether sentinels are safer than foragers in a wild, free-living cooperative bird (the pied babbler, Turdoides bicolor) with a well-described sentinel system. We found that sentinel behaviour was costly because (1) sentinels were targeted by predators more often, (2) they were further from cover than foragers, and (3) they took longer to reach the safety of cover following a predator alarm. These results suggest that individuals do not become sentinels because it is safer. This is the first study to demonstrate that sentinels are at greater risk of predator attack than foraging group members and suggests sentinel activity may have evolved as a form of cooperative behaviour. (C) 2012 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved."
"9","Alex 3","NO","Tatalovic, Mico","FIRST QUANTITATIVE DESCRIPTION OF SENTINEL POSTS IN WILD MEERKATS","Natura Croatica","21","493","496",NA,"2012","Tatalovic M.: First quantitative description of sentinel posts in wild meerkats. Nat. Croat., Vol. 21, No. 2, 493-496, 2012, Zagreb. Meerkats (Suricata suricatta) are small, cooperative, carnivorous mammals that engage in sentinel behaviour in which an individual keeps guard from an elevated post while the rest of the group is foraging. I present the first quantitative description of where and how high meerkats guard."
"10","Alex 3","maybe","MACCARONE, AD","SENTINEL BEHAVIOR IN AMERICAN CROWS","BIRD BEHAVIOUR","7","93","95","10.3727/015613887791918105","1987",NA
"11","Alex 3","maybe","DAGOSTINO, GM; GIOVINAZZO, LE; EATON, SW","THE SENTINEL CROW AS AN EXTENSION OF PARENTAL CARE","WILSON BULLETIN","93","394","395",NA,"1981",NA
"12","Alex 3","NO","Ostreiher, Roni; Heifetz, Aviad","The function of sentinel alarm calls in the Arabian babbler","JOURNAL OF AVIAN BIOLOGY","51",NA,NA,"10.1111/jav.02513","2020","In various group-living species, from time to time one of the group members acts as a sentinel and utters alarm calls when detecting a predator. Hearing these calls, other group mates usually react by quickly changing their behaviour. Uttering alarm calls is an anti-predator mechanism with several possible functions. In this study our aim was to assess the function of alarm calls in the Arabian babbler Argya squamiceps, a cooperatively breeding songbird. We observed 10 groups in natural conditions and recorded 1000 reactions of 55 foraging group members to 268 sets of alarm calls uttered by the sentinels. The most frequent reaction of the group members to the sentinel's alarm calls was to stop foraging immediately, to fly up to the closest treetop and to start calling alarm calls. In all the recorded cases, the sentinel remained in place and continued to call. The alarm calls continued as long as the raptor could be seen, and then ceased gradually, after which babblers flew down and returned to foraging. We conclude that the main function of alarm calls in the Arabian babbler is pursuit deterrence. In particular, while foragers benefit from the information content of the sentinel's alarm calls and react on their basis, the raptor is the primary audience addressed by the calls uttered by the sentinel and the foragers who join it."
"13","Alex 3","maybe","MCGOWAN, KJ; WOOLFENDEN, GE","A SENTINEL SYSTEM IN THE FLORIDA SCRUB JAY","ANIMAL BEHAVIOUR","37","1000","1006","10.1016/0003-3472(89)90144-9","1989",NA
"14","Alex 3","YES","Ostreiher, Roni; Heifetz, Aviad","The sentineling-Foraging trade-off in dominant and subordinate Arabian babblers","ETHOLOGY","125","98","105","10.1111/eth.12833","2019","Many cooperative breeders forage under predation risks, sentineling is a central activity, and groupmates have to balance between sentineling and foraging. The optimal balance between sentinel activity and foraging may differ among dominant and subordinate individuals, as dominants are more efficient foragers. Two theoretical models pertain to this balance and predict when individuals with different foraging abilities should switch between the two activities on the basis of their energetic state. In one of these models, individuals must attain a critical energetic level by dusk to pass the night, and in the second model fitness is monotonically increasing with the energetic state. We tested these models in the cooperatively breeding Arabian babbler, Turdoides squamiceps. We measured the length of sentinel bouts and the gaps between them both in natural conditions and following experimental feeding. Following feeding ad libitum, subordinates expanded their sentinel bouts significantly more than dominants in comparison with natural conditions. These findings are consistent with the first model, but not with the second. In the experiment, we measured the mass of mealworms consumed by each individual following a sentinel bout relative to its body mass. This ratio was larger for subordinates, indicating that they ended their sentinel bouts at a lower energetic state than dominants. This finding is consistent with the second model, but not with the first. Immediately after eating ad libitum, in 62% of the cases the first behavior performed by the babblers was a new sentinel bout, but in 17% it was a mutual interaction with a groupmate, indicating that social interactions also play a role in the trade-off vis-a-vis sentinel activity."
"15","Alex 3","maybe","HORROCKS, JA; HUNTE, W","SENTINEL BEHAVIOR IN VERVET MONKEYS - WHO SEES WHOM 1ST","ANIMAL BEHAVIOUR","34","1566","1567","10.1016/S0003-3472(86)80226-3","1986",NA
"16","Alex 3","YES","Arbon, Josh J.; Kern, Julie M.; Morris-Drake, Amy; Radford, Andrew N.","Context-dependent contributions to sentinel behaviour: audience, satiation and danger effects","ANIMAL BEHAVIOUR","165","143","152","10.1016/j.anbehav.2020.04.021","2020","In group-living species, particularly cooperative breeders, all group members contribute to various behaviours but there is considerable variation between and within individuals in their contributions. While it is well established that there is variation due to differences in the costs and benefits for individuals of different sex, age and dominance status, shorter-term social, internal and environmental factors are also likely to be important. Sentinel behaviour, where individuals adopt a raised position to scan for danger while groupmates forage, offers an opportunity to test hypotheses about context-dependent differences in contributions to group behaviour. Here we used field experiments to manipulate the conspecific audience, satiation state and perceived danger level of dwarf mongooses, Helogale parvula, to investigate how sentinel contributions are modulated by individual context. In addition to standard measures of sentinel behaviour (likelihood of becoming a sentinel, number of bouts, bout duration), we considered within-bout behaviour in terms of surveillance calls and attentiveness (head-scanning rate and distraction levels). We found that the presence of a neighbouring forager (audience) decreased sentinel contributions, while individuals increased their sentinel investment when satiated and experiencing an increased danger level. Changes in head-scanning rate provided evidence for an interaction between the effect of satiation and danger levels, demonstrating that sentinel attentiveness was influenced by changes in context. Our results demonstrate that sentinel behaviour is strongly context dependent, with effects seen in initial bout and bout quantity decisions, as well as within-bout characteristics, and that individual contributions to group behaviours can vary depending on social, internal and environmental factors. (c) 2020 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved."
"17","Alex 3","NO","Elwan, Ehsan; Le Page, Michel; Jarlan, Lionel; Baghdadi, Nicolas; Brocca, Luca; Modanesi, Sara; Dari, Jacopo; Quintana Segui, Pere; Zribi, Mehrez","Irrigation Mapping on Two Contrasted Climatic Contexts Using Sentinel-1 and Sentinel-2 Data","WATER","14",NA,NA,"10.3390/w14050804","2022","This study aims to propose an operational approach to map irrigated areas based on the synergy of Sentinel-1 (S1) and Sentinel-2 (S2) data. An application is proposed at two study sites in Europe-in Spain and in Italy-with two climatic contexts (semiarid and humid, respectively), with the objective of proving the essential role of multi-site training for a robust application of the proposed methodologies. Several classifiers are proposed to separate irrigated and rainfed areas. They are based on statistical variables from Sentinel-1 and Sentinel-2 time series data at the agricultural field scale, as well as on the contrasted behavior between the field scale and the 5 km surroundings. The support vector machine (SVM) classification approach was tested with different options to evaluate the robustness of the proposed methodologies. The optimal number of metrics found is five. These metrics illustrate the importance of optical/radar synergy and the consideration of multi-scale spatial information. The highest accuracy of the classifications, approximately equal to 85%, is based on training dataset with mixed reference fields from the two study sites. In addition, the accuracy is consistent at the two study sites. These results confirm the potential of the proposed approaches towards the most general use on sites with different climatic and agricultural contexts."
"18","Alex 3","YES","Zacharias, V. J.; Mathew, D. N.","Behaviour of the whiteheaded babbler Turdoides affinis Jerdon","Journal of the Bombay Natural History Society","95","8","14",NA,"1998","The whiteheaded babbler, Turdoides affinis, lives in groups. A group has a large home range within which there is a well defined territory. The species has a well organised sentinel system. Though the sentinel duty was shared by other members of the group, the breeding birds and other older birds acted more often as sentinels and for a longer duration. It is speculated that allopreening in the whiteheaded babbler helps to reduce aggression and promote group integration. This babbler roosts communally. The groups of whiteheaded babblers appear to be organised hierarchically. Calls appear to have a definite function in the species. Clumping, allopreening, sentinel system and the large repertoire of vocalizations may be helpful in consolidating the group and co-ordinating its movements."
"19","Alex 3","maybe","Goodale, Eben; Beauchamp, Guy; Ruxton, Graeme D.","Leadership and Sentinel Behavior","MIXED-SPECIES GROUPS OF ANIMALS: BEHAVIOR, COMMUNITY STRUCTURE, AND CONSERVATION",NA,"125","145","10.1016/B978-0-12-805355-3.00007-5","2017",NA
"20","Alex 3","NO","Stefanidou, Alexandra; Gitas, Ioannis Z.; Katagis, Thomas","A national fuel type mapping method improvement using sentinel-2 satellite data","GEOCARTO INTERNATIONAL","37","1022","1042","10.1080/10106049.2020.1756460","2022","Despite the fact that wildland fires have always been an integral part of many ecosystems, their increased frequency and intensity have reinforced the need of fire managers for updated and highly accurate information associated with the spatial distribution of forest fuels. In 2015, a fuel type mapping method was developed in the framework of the National Observatory of Forest Fires (NOFFi) project resulting in the generation of a national fuel type map. In this study, we aimed at examining the potential of the newly available Sentinel-2 satellite images for the improvement of the NOFFi's mapping method in terms of accuracy and update effectiveness of the national fuel type map. Results demonstrate Sentinel-2 data will likely improve the resolution and reliability of national fuel type maps, increasing mapping efficiency for operational purposes."
"21","Alex 3","NO","Lee, Alan Tristram Kenneth","SENTINEL BEHAVIOR OR VIGILANCE AT A MACAW CLAYLICK?","ORNITOLOGIA NEOTROPICAL","28","253","260",NA,"2017","Sentinel behavior (co-ordinated vigilance) has been observed for a range of bird species living in family groups, usually in arid environments, but the behavior has never been formally identified for parrots. Riverside clay-licks are sites where parrots and other species congregate to consume soil, usually in large numbers. Birds feeding on the clay are vulnerable to attack from predators. The Red-and-green Macaw Ara chloropterus can be observed in the vicinity of claylicks for much of the morning, although they spend only a small amount of time feeding on the clay itself. I investigated patterns of vigilance at a riverside claylick in Peru to test whether or not the birds engage in true sentinel behavior. There was no evidence for coordination of vigilance, and overall vigilance increased with the presence of more birds on the claylick, contrary to expectation. In addition, tall perches that should serve as sentinel positions were generally occupied less when birds were feeding on the claylick, and the probability of birds on the clay increased with increasing group size. Probability of calling, which could include warning information, was not higher as a function of bird presence on the clay, but was best explained by group size. All macaws maintained a generally high state of vigilance in the vicinity of the claylick, suggesting there was no reliance on a sentinel system. Further work is needed to understand the dynamics of this behavior for this species at one of southeastern Peru's most important ecotourism resources."
