"STUDY_ID","REVIEWERS","INCLUDE","AUTHORS","TITLE","SOURCE","VOLUME","LPAGE","UPAGE","DOI","YEAR","ABSTRACT","X"
"1","Alex 3","YES","Bednekoff, Peter A.; Woolfenden, Glen E.","Florida scrub-jays compensate for the sentinel behavior of flockmates","ETHOLOGY","112","796","800","10.1111/j.1439-0310.2006.01227.x","2006","Sentinel coordination requires that individuals react to the sentinel behavior of others. Previous work showed that Florida scrub-jays are sentinels more often when given supplemental food. Here we measured how birds in pairs reacted when their mates were fed. Scrub-jays were sentinels less when their mates were fed, demonstrating compensation. Indirect evidence suggests that this compensatory decrease in sentinel behavior was smaller than the increase in sentinel behavior by their mates. In addition, males in newly established groups were sentinels less often.",NA
"2","Alex 3","YES","Wright, J; Berg, E; De Kort, SR; Khazin, V; Maklakov, AA","Cooperative sentinel behaviour in the Arabian babbler","ANIMAL BEHAVIOUR","62","973","979","10.1006/anbe.2001.1838","2001","Cooperative sentinel behaviour in Arabian babblers, Turdoides squamiceps, appears generally consistent with state-dependent models of individually selfish antipredator behaviour. We examined further detailed aspects of this cooperative behaviour, including the suggestion that by engaging in this behaviour sentinels advertise their status and gain social prestige. Chosen sentinel locations were higher, but no more exposed, than the best alternative locations within 25 m. Sentinels started off closer to the centre of the foraging group than when sentinel bouts were terminated. Change-overs between sentinels were nearly always due to previous sentinels terminating their own bout. On the rare occasions when bouts were interrupted by upcoming sentinels, physical contact or aggression was extremely rare. Dominant males tended to terminate sentinel bouts of other birds, interrupting especially the dominant females. Other than this, there was no effect of an individual's sex or dominance rank on any aspect of sentinel change-overs or location choice when acting as a sentinel. There were also no differences in any sentinel activity between simple family groups, and those more complex nonfamily groups within which individuals compete for reproduction. Rates of alarm calling did not differ between group members, although dominant males did make more territorial calls to neighbouring groups while acting as a sentinel. Therefore, we found relatively little evidence that individuals compete for the chance to act as a sentinel as a means of showing off within groups of Arabian babblers. Instead, our study confirms the primary function of sentinels as a system of cooperative vigilance. (C) 2001 The Association for the Study of Animal Behaviour.",NA
"3","Alex 3","NO","Bednekoff, PA","Mutualism among safe, selfish sentinels: A dynamic game","AMERICAN NATURALIST","150","373","392","10.1086/286070","1997","Sentinels are group members that watch from prominent positions. Sentinel interchanges often appear orderly, and groups with sentinels rarely have zero or many sentinels. A dynamic game was constructed to examine if these observations about sentinels could be based on selfish actions by individual group members. In this game, each group member chose to forage or be a sentinel based on its own energetic state and the actions of others. Sentinels received a selfish antipredator benefit if their ability to detect approaching predators more than compensated for their increased exposure to undetected predators. Provided sentinels were relatively safe and that detection information spread to other group members when sentinels detected predators, sentinels appeared highly coordinated for all combinations of parameters. This apparent coordination was based on mutualism because each individual gained by being a sentinel when other group members were not (and foraging when other group members were being sentinels). The model was very robust, but exact level of sentinel behavior varied somewhat with changes in foraging and predation parameters. This model could best be tested by testing its assumptions about sentinel safety, foraging-predation trade-offs, and information transfer in groups.",NA
"4","Alex 3","NO","Bednekoff, PA","Coordination of safe, selfish sentinels based on mutual benefits","ANNALES ZOOLOGICI FENNICI","38","5","14","","2001","Sentinels are group members that watch from prominent positions. Sentinel interchanges often appear orderly and the number of sentinels changes little despite the turnover of individuals. I modeled why solitary individuals or group members might take up prominent positions. Such positions can be safe places to rest because they provide a good view of approaching predators, even if undetected predators preferentially attack sentinels. In pairs, coordinated sentinel behavior is favored whenever information spreads from a detecting to a non-detecting individual more than half the time. Under these conditions, safety for a sentinel produces safety for a forager as a by-product. Thus sentinel behavior occurs for selfish safety reasons but coordination of sentinels is based on mutualism. If sentinels can coordinate their individual actions, evidence of the game is hidden from view. The fitness consequences of some games may be best indicated by the strategies organisms take to avoid playing them.",NA
"5","Alex 3","NO","Bednekoff, Peter A.; Bowman, Reed; Woolfenden, Glen E.","Do conversational gutturals help florida scrub-jays coordinate their sentinel behavior?","ETHOLOGY","114","313","317","10.1111/j.1439-0310.2008.01467.x","2008","Florida scrub-jays, Aphelocoma coerulescens, perform sentinel behavior in which individuals alternate bouts of watchfulness with little overlap. We examined how calls might facilitate sentinel coordination. Small soft calls labeled conversational gutturals were heard more often from sentinels than from foraging birds. Calls occurred infrequently throughout sentinel bouts but were more common later in bouts. The pattern of calling does not match predictions for a 'watchman's song' at regular intervals nor for a signal at the end of a sentinel bout. Thus, our quantitative assessment of calling by sentinels did not find support for either standard hypothesis. Although Florida scrub-jays clearly have information on each other's sentinel behavior, our results suggest that calls provide perhaps a fraction of this information.",NA
"6","Alex 3","YES","Ragusa-Netto, J.","Sentinels in Saltator atricollis (Passeriformes: Emberizidae)","Brazilian Journal of Biology","61","317","322","10.1590/S0034-71082001000200015","2001","I studied the existence of sentinels in Saltator atricollis in a 'campo-cerrado' (Brazilian savanna) during the breeding seasons of 1994-95 and 1995-96. Groups of this species consisted of two to seven birds (N = 25). Sentinels were present (mean +- sd) 62% +- 9% of the time, and most sentinel bouts lasted from less than one to six minutes (although in some occasions for more than 30 min.). Overlap of two or more sentinels occurred on average only 3.2% of the time with birds on guard. Sentinels commonly gave contact calls in the beginning and/or at the end of a sentinel bout. The group size had no effect on time with sentinels. However the encounter rate between raptors and groups significantly influenced the time guarded. The results of this study suggests that the ability of sentinels to detect predators may play a central role as an anti-predator device.",NA
"7","Alex 3","YES","Ostreiher, Roni; Mundry, Roger; Heifetz, Aviad","On the self-regulation of sentinel activity among Arabian babbler groupmates","ANIMAL BEHAVIOUR","173","81","92","10.1016/j.anbehav.2021.01.002","2021","In many cooperatively breeding species, one of the group members (called a sentinel) flies or climbs up occasionally to a high position, looks around and utters alarm calls if a predator approaches, while other group members are foraging. Bednekon (1997, American Naturalist, 150, 373-392; 2001, Annales Zoologici Fennici, 38, 5-14) game-theoretic model assumes that group members trade the need to forage against the advantages of earlier risk detection when sentinelling. The model predicts that in the presence of another sentinel which may provide timely alerts, a sentinel will terminate its sentinel bout earlier when its energy level drops below a threshold that is higher than the depletion threshold that would incentivize it to resume foraging if it were sentinelling alone. We propose a complementary hypothesis, that this effect of shortened sentinel duration in the presence of another sentinel will be more pronounced for subordinate group members, for whom the fierce competition they suffer while foraging gets attenuated when a groupmate sentinels. We tested these hypotheses in Arabian babbler, Argya squamiceps, groups by comparing sentinel activity under natural conditions vis-a-vis sentinel activity in a feeding experiment in which one or two individuals were fed. In natural conditions, dominant males not only acted as sentinels longer and more often, but they also initiated a larger share of their sentinel bouts when another group member was already on guard. Following experimental feeding ad libitum, in line with the game-theoretic predictions (1) the probability of starting a sentinel bout was not affected by the presence of another sentinel, nor by its sex or rank, and (2) sentinel bouts that terminated in the presence of another sentinel were significantly shorter than sentinel bouts ending alone. Our findings suggest that the seemingly systematic exchange of sentinels may be a consequence of differential needs and incentives rather than active coordination. (C) 2021 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",NA
"8","Alex 3","NO","Hing, Jing Sheng; Schmaltz, Gregory; Quinn, James S.","Testing for sentinel coordination in Smooth-billed Anis (Crotophaga ani)","JOURNAL OF ORNITHOLOGY","160","165","172","10.1007/s10336-018-1584-6","2019","Sentinel behaviour has been widely described, but whether or not it is coordinated among group members requires careful examination. The Smooth-billed Ani, Crotophaga ani, a joint-nesting cooperatively breeding bird, appears to have a sentinel system; however, it is unknown whether that vigilance is coordinated, the defining feature of sentinel behaviour. We followed social groups during two breeding seasons to observe and time their individual sentinel bouts. We then tested for coordination by quantifying the observed and expected proportions of time during which (1) no sentinel was present during observations, and (2) two or more sentinels were present. The majority of social groups spent less time than expected, under the coordination hypothesis, with at least one sentinel, indicating evidence against coordinated vigilance. This was significant for social groups observed in 2015, but not in 2002. Across both years, temporal overlap in sentinel behaviour between two individuals occurred significantly less than expected under the coordination hypothesis. This study contributes to a gap in our knowledge of sentinel behaviour and suggests that Smooth-billed Anis lack organized vigilance, possibly due to low within-group relatedness and group instability.",NA
"9","Alex 3","YES","Wright, J; Berg, E; de Kort, SR; Khazin, V; Maklakov, AA","Safe selfish sentinels in a cooperative bird","JOURNAL OF ANIMAL ECOLOGY","70","1070","1079","10.1046/j.0021-8790.2001.00565.x","2001","1. Sentinel behaviour involves a unique cooperative system of dedicated look-outs which protect members of their social group from attack by predators. Using detailed observations from groups of Arabian babblers, Turdoides squamiceps, we tested the original theoretical suggestion that cooperative sentinel systems are simply the result of individually selfish state-dependent patterns of behaviour.2. Sentinel effort and the number of sentinel bouts per individual per hour were greater for males than females, and both increased with individual dominance status within the group.3. Sentinel behaviour was unaffected by group social structure, in terms of patterns of relatedness and the number of potential breeders.4. Total group sentinel effort increased with group size, while the effort per individual decreased irrespective of sex and dominance rank. Simultaneous sentinel behaviour by two or more birds was very rare, but increased with group size.5. Sentinel effort followed seasonal fluctuations in food availability, but not peaks of raptor migration through the study site.6. Body mass was greater for males than females and was positively related to dominance rank. Overall, body mass explained much of the variation in individual sentinel effort both within and between birds. However, data on individual foraging performance could not be related to changes in body mass and thus to differences in sentinel effort.7. Sentinel behaviour in groups of Arabian babblers therefore confirms many of the predictions arising from state-dependent models of cooperative, yet individually selfish, sentinel behaviour.",NA
"10","Alex 3","NO","Manser, MB","Response of foraging group members to sentinel calls in suricates, Suricata suricatta","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","266","1013","1019","10.1098/rspb.1999.0737","1999","In the suricate (Suricata suricatta), a cooperatively breeding mongoose, one individual typically watches out for predators while the rest of the group is foraging. Most of the time these sentinels announce their guarding duty with special vocalizations. The response of foraging group members to these calls was investigated by analysing observational data, and by performing playback experiments. The use of special calls by sentinels, and the responses of the foraging group members to them, suggest that the coordination of vigilance is strongly influenced by vocal communication. Sentinel calls decreased the time spent alert by the foraging group members. Other group members were less likely to go on guard when a sentinel was vocalizing Both the proportion of time during which guards overlapped, and the proportion of time the group was unprotected without a guard, decreased when sentinels announced their duty, due to better coordination of the rotation of sentinels. Suricates, however, do not appear to use sentinel calls to mediate a strict rotation of guarding duty.",NA
"11","Alex 3","YES","Bednekoff, PA; Woolfenden, GE","Florida scrub-jays (Aphelocoma coerulescens) are sentinels more when well-fed (even with no kin nearby)","ETHOLOGY","109","895","903","10.1046/j.0179-1613.2003.00926.x","2003","Sentinels occupy high, exposed positions while other group members forage nearby. If sentinel behavior involves a foraging-predation risk trade-off, animals should be sentinels more when fed supplemental food. When individual Florida scrub-jays (Aphelocoma coerulescens) were fed fragments of peanuts, during the following 30 min they shifted 30% of their time from foraging to sentinel behavior. In a follow-up experiment, we fed either one or two members in each group. As before, the jays reduced their foraging and spent much more time as sentinels when given supplemental food. In each treatment, pairs were sentinels simultaneously considerably less often than expected by chance. The dramatic shift from foraging to sentinel behavior suggests that for Florida scrub-jays sentinel behavior brings substantial benefits for no greater cost than that of lost opportunities to forage. Because the results held for simple mated pairs of scrub-jays, we argue that kin selection and social prestige are not necessary to explain sentinel behavior.",NA
