STUDY_ID,REVIEWERS,INCLUDE,AUTHORS,TITLE,SOURCE,VOLUME,LPAGE,UPAGE,DOI,YEAR,ABSTRACT,X
1,Alex Combined,YES,"Bednekoff, Peter A.; Woolfenden, Glen E.",Florida scrub-jays compensate for the sentinel behavior of flockmates,ETHOLOGY,112,796,800,10.1111/j.1439-0310.2006.01227.x,2006,"Sentinel coordination requires that individuals react to the sentinel behavior of others. Previous work showed that Florida scrub-jays are sentinels more often when given supplemental food. Here we measured how birds in pairs reacted when their mates were fed. Scrub-jays were sentinels less when their mates were fed, demonstrating compensation. Indirect evidence suggests that this compensatory decrease in sentinel behavior was smaller than the increase in sentinel behavior by their mates. In addition, males in newly established groups were sentinels less often.",NA
2,Alex Combined,YES,"Wright, J; Berg, E; De Kort, SR; Khazin, V; Maklakov, AA",Cooperative sentinel behaviour in the Arabian babbler,ANIMAL BEHAVIOUR,62,973,979,10.1006/anbe.2001.1838,2001,"Cooperative sentinel behaviour in Arabian babblers, Turdoides squamiceps, appears generally consistent with state-dependent models of individually selfish antipredator behaviour. We examined further detailed aspects of this cooperative behaviour, including the suggestion that by engaging in this behaviour sentinels advertise their status and gain social prestige. Chosen sentinel locations were higher, but no more exposed, than the best alternative locations within 25 m. Sentinels started off closer to the centre of the foraging group than when sentinel bouts were terminated. Change-overs between sentinels were nearly always due to previous sentinels terminating their own bout. On the rare occasions when bouts were interrupted by upcoming sentinels, physical contact or aggression was extremely rare. Dominant males tended to terminate sentinel bouts of other birds, interrupting especially the dominant females. Other than this, there was no effect of an individual's sex or dominance rank on any aspect of sentinel change-overs or location choice when acting as a sentinel. There were also no differences in any sentinel activity between simple family groups, and those more complex nonfamily groups within which individuals compete for reproduction. Rates of alarm calling did not differ between group members, although dominant males did make more territorial calls to neighbouring groups while acting as a sentinel. Therefore, we found relatively little evidence that individuals compete for the chance to act as a sentinel as a means of showing off within groups of Arabian babblers. Instead, our study confirms the primary function of sentinels as a system of cooperative vigilance. (C) 2001 The Association for the Study of Animal Behaviour.",NA
6,Alex Combined,YES,"Ragusa-Netto, J.",Sentinels in Saltator atricollis (Passeriformes: Emberizidae),Brazilian Journal of Biology,61,317,322,10.1590/S0034-71082001000200015,2001,"I studied the existence of sentinels in Saltator atricollis in a 'campo-cerrado' (Brazilian savanna) during the breeding seasons of 1994-95 and 1995-96. Groups of this species consisted of two to seven birds (N = 25). Sentinels were present (mean +- sd) 62% +- 9% of the time, and most sentinel bouts lasted from less than one to six minutes (although in some occasions for more than 30 min.). Overlap of two or more sentinels occurred on average only 3.2% of the time with birds on guard. Sentinels commonly gave contact calls in the beginning and/or at the end of a sentinel bout. The group size had no effect on time with sentinels. However the encounter rate between raptors and groups significantly influenced the time guarded. The results of this study suggests that the ability of sentinels to detect predators may play a central role as an anti-predator device.",NA
7,Alex Combined,YES,"Ostreiher, Roni; Mundry, Roger; Heifetz, Aviad",On the self-regulation of sentinel activity among Arabian babbler groupmates,ANIMAL BEHAVIOUR,173,81,92,10.1016/j.anbehav.2021.01.002,2021,"In many cooperatively breeding species, one of the group members (called a sentinel) flies or climbs up occasionally to a high position, looks around and utters alarm calls if a predator approaches, while other group members are foraging. Bednekon (1997, American Naturalist, 150, 373-392; 2001, Annales Zoologici Fennici, 38, 5-14) game-theoretic model assumes that group members trade the need to forage against the advantages of earlier risk detection when sentinelling. The model predicts that in the presence of another sentinel which may provide timely alerts, a sentinel will terminate its sentinel bout earlier when its energy level drops below a threshold that is higher than the depletion threshold that would incentivize it to resume foraging if it were sentinelling alone. We propose a complementary hypothesis, that this effect of shortened sentinel duration in the presence of another sentinel will be more pronounced for subordinate group members, for whom the fierce competition they suffer while foraging gets attenuated when a groupmate sentinels. We tested these hypotheses in Arabian babbler, Argya squamiceps, groups by comparing sentinel activity under natural conditions vis-a-vis sentinel activity in a feeding experiment in which one or two individuals were fed. In natural conditions, dominant males not only acted as sentinels longer and more often, but they also initiated a larger share of their sentinel bouts when another group member was already on guard. Following experimental feeding ad libitum, in line with the game-theoretic predictions (1) the probability of starting a sentinel bout was not affected by the presence of another sentinel, nor by its sex or rank, and (2) sentinel bouts that terminated in the presence of another sentinel were significantly shorter than sentinel bouts ending alone. Our findings suggest that the seemingly systematic exchange of sentinels may be a consequence of differential needs and incentives rather than active coordination. (C) 2021 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",NA
9,Alex Combined,YES,"Wright, J; Berg, E; de Kort, SR; Khazin, V; Maklakov, AA",Safe selfish sentinels in a cooperative bird,JOURNAL OF ANIMAL ECOLOGY,70,1070,1079,10.1046/j.0021-8790.2001.00565.x,2001,"1. Sentinel behaviour involves a unique cooperative system of dedicated look-outs which protect members of their social group from attack by predators. Using detailed observations from groups of Arabian babblers, Turdoides squamiceps, we tested the original theoretical suggestion that cooperative sentinel systems are simply the result of individually selfish state-dependent patterns of behaviour.2. Sentinel effort and the number of sentinel bouts per individual per hour were greater for males than females, and both increased with individual dominance status within the group.3. Sentinel behaviour was unaffected by group social structure, in terms of patterns of relatedness and the number of potential breeders.4. Total group sentinel effort increased with group size, while the effort per individual decreased irrespective of sex and dominance rank. Simultaneous sentinel behaviour by two or more birds was very rare, but increased with group size.5. Sentinel effort followed seasonal fluctuations in food availability, but not peaks of raptor migration through the study site.6. Body mass was greater for males than females and was positively related to dominance rank. Overall, body mass explained much of the variation in individual sentinel effort both within and between birds. However, data on individual foraging performance could not be related to changes in body mass and thus to differences in sentinel effort.7. Sentinel behaviour in groups of Arabian babblers therefore confirms many of the predictions arising from state-dependent models of cooperative, yet individually selfish, sentinel behaviour.",NA
11,Alex Combined,YES,"Bednekoff, PA; Woolfenden, GE",Florida scrub-jays (Aphelocoma coerulescens) are sentinels more when well-fed (even with no kin nearby),ETHOLOGY,109,895,903,10.1046/j.0179-1613.2003.00926.x,2003,"Sentinels occupy high, exposed positions while other group members forage nearby. If sentinel behavior involves a foraging-predation risk trade-off, animals should be sentinels more when fed supplemental food. When individual Florida scrub-jays (Aphelocoma coerulescens) were fed fragments of peanuts, during the following 30 min they shifted 30% of their time from foraging to sentinel behavior. In a follow-up experiment, we fed either one or two members in each group. As before, the jays reduced their foraging and spent much more time as sentinels when given supplemental food. In each treatment, pairs were sentinels simultaneously considerably less often than expected by chance. The dramatic shift from foraging to sentinel behavior suggests that for Florida scrub-jays sentinel behavior brings substantial benefits for no greater cost than that of lost opportunities to forage. Because the results held for simple mated pairs of scrub-jays, we argue that kin selection and social prestige are not necessary to explain sentinel behavior.",NA
12,Alex Combined,YES,"HAILMAN, JP; MCGOWAN, KJ; WOOLFENDEN, GE",ROLE OF HELPERS IN THE SENTINEL BEHAVIOR OF THE FLORIDA SCRUB JAY (APHELOCOMA C COERULESCENS),ETHOLOGY,97,119,140,,1994,"Two independently conceived and executed field studies using somewhat different methodologies tested the hypothesis that non-breeding helpers of the Florida scrub jay (Aphelocoma c. coerulescens) contribute importantly to antipredator sentinel behaviour. Specifically, we made four predictions: 1. Helpers participate to a non-trivial degree in sentinel behaviour; 2. Breeding pairs with helpers spend less time on sentinel behaviour and hence more time foraging; 3. Breeders with helpers have more protected foraging time; and 4. Groups with helpers have greater total sentinel time.Results of the two studies agreed on most major points and even, in many cases, on minor points and quantitative aspects. Non-breeding adult helper birds participated in sentinel watches almost as much as breeders in their group. In winter, breeding pairs with one or more helpers decreased their own sentinel time compared with that of unassisted pairs. However, in the one study, the concomitantly increased available foraging time of breeders was no better protected by another group member being on sentinel than in the lone pairs. Results of the other study showed a significant increase of protected foraging time for breeding males only. In winter, groups with helpers did not have increased total sentinel time; time was either the same (Study A) or significantly less (Study B). During nesting, breeders with helpers did not, decrease their sentinel effort relative to lone pairs. Instead, groups with helpers had a sentinel for more time. These results are interpreted as indicating that, in winter, sentinel behaviour is more important to antiraptor defense in lone pairs than larger groups. In groups with helpers the mere addition of extra pairs of eyes and ears may render formal sentinel behaviour less necessary, so breeders can decrease their sentinel time and increase their foraging time. During nesting, additional sentinels may be important for increased nest protection. The presence of helpers contributing to predator detection may thus be an important factor in the better annual survival and nesting success of breeders that have helpers (WOOLFENDEN & FITZPATRICK 1984).",NA
14,Alex Combined,YES,"Ostreiher, Roni; Heifetz, Aviad",The sentinel behaviour of Arabian babbler floaters,ROYAL SOCIETY OPEN SCIENCE,4,,,10.1098/rsos.160738,2017,"The sentinel behaviour of 38 Arabian babbler adult floaters, who lived alone within a territory belonging to a foreign group, was studied and compared with their own sentinel behaviour in the past, when they were group members. All floaters acted as sentinels and uttered 'alarm calls'. This suggests that sentinel activity is due at least, in part, to selfish motives. Floaters sentinelled less than they did as group members, with the decrease in sentinel activity sharper for ex-dominants than for ex-subordinates. One possible explanation for these differences is that sentinel activity is aimed not only at detecting predators, but also at detecting foreign conspecifics. Within a group, the latter incentive is stronger for breeding dominants than for subordinates, whereas all floaters alike may be trying to detect the owners of the territory in which they were roaming but also to avoid being detected by them. Other possible explanations are that floaters have less time and energy for sentinel activity because they are weaker or because foraging is more difficult in a foreign territory. This may be especially so for dominants who used to enjoy privileged access to food in their group. No significant difference was found in the rate of sentinels' 'alarm calls' between floaters and group members, suggesting that their main purpose is predator-prey communication, of which warning groupmates may be a side benefit.",NA
17,Alex Combined,YES,"Wright, J; Maklakov, AA; Khazin, V",State-dependent sentinels: an experimental study in the Arabian babbler,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,268,821,826,10.1098/rspb.2000.1574,2001,"Natural patterns of cooperative sentinel behaviour in Arabian babblers. Turdoides squamiceps have proven consistent with state-dependent models of individually selfish anti-predator strategies. Here we demonstrate experimentally that sentinel effort within groups is determined simply hy individual state. The two highest-ranking males in eight groups were separately fed a supplement of mealworms each for one day at a time. Control days before and after each treatment confirmed that Ilo carry-over effects occurred, and that most normal sentinel activity was carried our by alpha males, then beta males and then by. the rest of the group. When supplemented. both alpha and beta males exhibited similar marked increases in sentinel activity relative to control days. Unsupplemented males and the rest of the group incompletely compensated for these increases with reductions in sentinel effort. Differences in individual bod! mass within groups reflected natural and experimental variation in sentinel effort. Alpha and beta males weighed more than other group members, and gained mass only when supplementally fed. There was no evidence either for competitive sentinel behaviour, nor for an); increased interference between malts during the supplementation treatments. These results therefore provide strong evidence in support of the state-dependent approach to cooperative sentinel behaviour.",NA
24,Alex Combined,YES,"Kern, Julie M.; Sumner, Seirian; Radford, Andrew N.",Sentinel dominance status influences forager use of social information,BEHAVIORAL ECOLOGY,27,1053,1060,10.1093/beheco/arv240,2016,"Animals in social groups can acquire information about the need for antipredator behavior by personally sampling the environment or from information provided by others. Use of such social information is expected to be adjusted according to its reliability, but experimental tests are rare and tend to focus just on alarm calls. We use detailed behavioral observations, acoustic analyses, and playback experiments to investigate how differences in sentinel dominance status affect the behavioral decisions of foraging dwarf mongooses (Helogale parvula). Dominant individuals acted as sentinels considerably more often than subordinate group members and used higher sentinel posts for guarding, making them potentially higher-quality sentinels in terms of experience and optimal positioning for predator detection. Surveillance calls produced during sentinel bouts contained vocal information about dominance status. Playback experiments showed that foragers used surveillance calls to detect sentinel presence and identity, and adjusted their vigilance behavior accordingly. When a dominant sentinel was on duty, compared with a subordinate groupmate, foragers increased reliance on social information, gathered less information through personal vigilance, and focused more on foraging. Our study contributes novel evidence that a major benefit of individual- and class-specific vocalizations is the potential to assess differences in caller information quality.",NA
