Observation id,Comment,Start time,Stop time,Duration (s)
007 - Short Hills Vineyard - 1 crow - No Bait,,129.515,131.766,2.251
007 - Short Hills Vineyard - 1 crow - No Bait,,154.55,158.057,3.507
007 - Short Hills Vineyard - 1 crow - No Bait,,165.061,166.049,0.988
007 - Short Hills Vineyard - 1 crow - No Bait,,177.805,185.573,7.768
007 - Short Hills Vineyard - 1 crow - No Bait,,222.123,238.621,16.498
007 - Short Hills Vineyard - 1 crow - No Bait,,239.376,246.152,6.776
007 - Short Hills Vineyard - 1 crow - No Bait,,254.64,255.662,1.022
007 - Short Hills Vineyard - 1 crow - No Bait,,264.665,270.17,5.505
013 - First St Louth Farm - 3 crows - No Bait,,30.936,32.927,1.991
013 - First St Louth Farm - 3 crows - No Bait,,35.173,35.922,0.749
013 - First St Louth Farm - 3 crows - No Bait,,38.416,39.925,1.509
013 - First St Louth Farm - 3 crows - No Bait,,40.427,44.676,4.249
013 - First St Louth Farm - 3 crows - No Bait,,49.173,50.922,1.749
013 - First St Louth Farm - 3 crows - No Bait,,53.671,54.672,1.001
013 - First St Louth Farm - 3 crows - No Bait,,57.929,58.925,0.996
013 - First St Louth Farm - 3 crows - No Bait,,59.694,68.928,9.234
013 - First St Louth Farm - 3 crows - No Bait,,69.198,74.425,5.227
013 - First St Louth Farm - 3 crows - No Bait,,77.933,79.426,1.493
013 - First St Louth Farm - 3 crows - No Bait,,80.464,85.995,5.531
013 - First St Louth Farm - 3 crows - No Bait,,89.991,119.499,29.508
013 - First St Louth Farm - 3 crows - No Bait,,119.998,121.496,1.498
013 - First St Louth Farm - 3 crows - No Bait,,125.994,126.997,1.003
013 - First St Louth Farm - 3 crows - No Bait,,131.482,132.992,1.510
013 - First St Louth Farm - 3 crows - No Bait,,137.487,147.992,10.505
013 - First St Louth Farm - 3 crows - No Bait,,148.492,158.572,10.080
013 - First St Louth Farm - 3 crows - No Bait,,159.064,172.561,13.497
013 - First St Louth Farm - 3 crows - No Bait,,185.062,186.562,1.500
013 - First St Louth Farm - 3 crows - No Bait,,189.063,190.796,1.733
013 - First St Louth Farm - 3 crows - No Bait,,193.065,195.064,1.999
013 - First St Louth Farm - 3 crows - No Bait,,211.555,213.555,2.000
013 - First St Louth Farm - 3 crows - No Bait,,216.058,218.054,1.996
013 - First St Louth Farm - 3 crows - No Bait,,218.555,220.056,1.501
013 - First St Louth Farm - 3 crows - No Bait,,228.062,231.563,3.501
013 - First St Louth Farm - 3 crows - No Bait,,233.557,243.048,9.491
013 - First St Louth Farm - 3 crows - No Bait,,249.054,251.552,2.498
013 - First St Louth Farm - 3 crows - No Bait,,257.551,260.552,3.001
013 - First St Louth Farm - 3 crows - No Bait,,263.392,265.143,1.751
013 - First St Louth Farm - 3 crows - No Bait,,266.56,267.551,0.991
013 - First St Louth Farm - 3 crows - No Bait,,269.402,270.649,1.247
013 - First St Louth Farm - 3 crows - No Bait,,274.676,275.185,0.509
013 - First St Louth Farm - 3 crows - No Bait,,279.693,281.678,1.985
013 - First St Louth Farm - 3 crows - No Bait,,286.422,286.704,0.282
013 - First St Louth Farm - 3 crows - No Bait,,288.175,291.684,3.509
013 - First St Louth Farm - 3 crows - No Bait,,293.173,294.68,1.507
013 - First St Louth Farm - 3 crows - No Bait,,304.181,304.68,0.499
013 - First St Louth Farm - 3 crows - No Bait,,305.683,307.941,2.258
013 - First St Louth Farm - 3 crows - No Bait,,310.749,312.235,1.486
013 - First St Louth Farm - 3 crows - No Bait,,314.696,317.724,3.028
013 - First St Louth Farm - 3 crows - No Bait,,318.456,323.209,4.753
013 - First St Louth Farm - 3 crows - No Bait,,328.733,330.232,1.499
013 - First St Louth Farm - 3 crows - No Bait,,335.219,336.714,1.495
013 - First St Louth Farm - 3 crows - No Bait,,337.71,339.707,1.997
013 - First St Louth Farm - 3 crows - No Bait,,340.717,342.723,2.006
013 - First St Louth Farm - 3 crows - No Bait,,344.724,348.757,4.033
013 - First St Louth Farm - 3 crows - No Bait,,349.483,350.759,1.276
013 - First St Louth Farm - 3 crows - No Bait,,351.761,353.26,1.499
013 - First St Louth Farm - 3 crows - No Bait,,357.261,362.261,5.000
013 - First St Louth Farm - 3 crows - No Bait,,362.753,366.256,3.503
013 - First St Louth Farm - 3 crows - No Bait,,367.004,370.279,3.275
013 - First St Louth Farm - 3 crows - No Bait,,373.256,379.281,6.025
013 - First St Louth Farm - 3 crows - No Bait,,379.759,388.534,8.775
