Observation id,Comment,Start time,Stop time,Duration (s)
024 - FVM - 2 crows - No Bait,,113.509,115.538,2.029
024 - FVM - 2 crows - No Bait,,117.531,121.526,3.995
024 - FVM - 2 crows - No Bait,,123.031,131.025,7.994
024 - FVM - 2 crows - No Bait,,132.524,133.022,0.498
024 - FVM - 2 crows - No Bait,,135.251,143.024,7.773
024 - FVM - 2 crows - No Bait,,143.53,146.551,3.021
024 - FVM - 2 crows - No Bait,,147.558,153.039,5.481
026 - FVM - 2 crows - Baited,,34.166,35.941,1.775
026 - FVM - 2 crows - Baited,,39.171,40.926,1.755
026 - FVM - 2 crows - Baited,,42.679,43.176,0.497
026 - FVM - 2 crows - Baited,,44.18,44.693,0.513
026 - FVM - 2 crows - Baited,,46.453,46.945,0.492
026 - FVM - 2 crows - Baited,,47.952,48.451,0.499
026 - FVM - 2 crows - Baited,,49.947,50.954,1.007
026 - FVM - 2 crows - Baited,,52.452,52.453,0.001
026 - FVM - 2 crows - Baited,,54.189,54.688,0.499
026 - FVM - 2 crows - Baited,,56.437,56.937,0.500
026 - FVM - 2 crows - Baited,,57.69,58.689,0.999
026 - FVM - 2 crows - Baited,,60.436,60.938,0.502
026 - FVM - 2 crows - Baited,,61.937,62.189,0.252
026 - FVM - 2 crows - Baited,,62.94,65.189,2.249
026 - FVM - 2 crows - Baited,,65.701,66.949,1.248
026 - FVM - 2 crows - Baited,,67.701,67.949,0.248
026 - FVM - 2 crows - Baited,,69.199,71.2,2.001
026 - FVM - 2 crows - Baited,,73.199,75.951,2.752
026 - FVM - 2 crows - Baited,,77.701,79.698,1.997
026 - FVM - 2 crows - Baited,,82.2,83.95,1.750
026 - FVM - 2 crows - Baited,,85.45,86.973,1.523
026 - FVM - 2 crows - Baited,,87.969,89.463,1.494
026 - FVM - 2 crows - Baited,,92.492,93.229,0.737
026 - FVM - 2 crows - Baited,,94.99,95.728,0.738
026 - FVM - 2 crows - Baited,,96.227,98.226,1.999
026 - FVM - 2 crows - Baited,,99.727,100.227,0.500
026 - FVM - 2 crows - Baited,,100.992,101.729,0.737
026 - FVM - 2 crows - Baited,,103.728,104.493,0.765
026 - FVM - 2 crows - Baited,,107.229,108.488,1.259
026 - FVM - 2 crows - Baited,,109.992,112.492,2.500
026 - FVM - 2 crows - Baited,,113.492,113.727,0.235
026 - FVM - 2 crows - Baited,,115.729,116.729,1.000
026 - FVM - 2 crows - Baited,,118.491,119.227,0.736
026 - FVM - 2 crows - Baited,,119.729,120.753,1.024
026 - FVM - 2 crows - Baited,,123.507,124.253,0.746
026 - FVM - 2 crows - Baited,,130.055,134.761,4.706
026 - FVM - 2 crows - Baited,,136.765,137.262,0.497
026 - FVM - 2 crows - Baited,,139.26,139.759,0.499
026 - FVM - 2 crows - Baited,,142.26,147.523,5.263
028 - FVM - 2 crows - Baited,,45.928,48.178,2.250
028 - FVM - 2 crows - Baited,,57.929,64.691,6.762
028 - FVM - 2 crows - Baited,,66.956,68.96,2.004
028 - FVM - 2 crows - Baited,,69.705,70.706,1.001
028 - FVM - 2 crows - Baited,,73.487,74.701,1.214
028 - FVM - 2 crows - Baited,,75.707,87.712,12.005
028 - FVM - 2 crows - Baited,,88.987,99.981,10.994
028 - FVM - 2 crows - Baited,,103.739,104.987,1.248
028 - FVM - 2 crows - Baited,,110.015,110.513,0.498
028 - FVM - 2 crows - Baited,,113.016,114.01,0.994
028 - FVM - 2 crows - Baited,,114.517,115.017,0.500
029 - FVM - 2 crows - Baited,,299.682,302.716,3.034
029 - FVM - 2 crows - Baited,,307.236,312.441,5.205
029 - FVM - 2 crows - Baited,,316.449,317.198,0.749
029 - FVM - 2 crows - Baited,,318.949,319.448,0.499
029 - FVM - 2 crows - Baited,,320.701,322.24,1.539
029 - FVM - 2 crows - Baited,,322.957,324.208,1.251
029 - FVM - 2 crows - Baited,,325.46,326.275,0.815
029 - FVM - 2 crows - Baited,,326.956,327.777,0.821
029 - FVM - 2 crows - Baited,,329.457,329.781,0.324
029 - FVM - 2 crows - Baited,,330.459,331.309,0.850
029 - FVM - 2 crows - Baited,,332.459,333.457,0.998
029 - FVM - 2 crows - Baited,,334.459,335.205,0.746
029 - FVM - 2 crows - Baited,,337.211,339.708,2.497
029 - FVM - 2 crows - Baited,,340.459,342.476,2.017
029 - FVM - 2 crows - Baited,,342.974,343.723,0.749
029 - FVM - 2 crows - Baited,,346.474,348.475,2.001
029 - FVM - 2 crows - Baited,,349.974,350.226,0.252
029 - FVM - 2 crows - Baited,,352.876,354.475,1.599
030 - FVM - 2 crows - Baited,,95.228,96.977,1.749
030 - FVM - 2 crows - Baited,,100.235,102.239,2.004
030 - FVM - 2 crows - Baited,,104.737,105.235,0.498
030 - FVM - 2 crows - Baited,,107.236,110.236,3.000
030 - FVM - 2 crows - Baited,,111.499,111.995,0.496
030 - FVM - 2 crows - Baited,,113.736,114.498,0.762
030 - FVM - 2 crows - Baited,,115.237,116.237,1.000
030 - FVM - 2 crows - Baited,,117.996,119.235,1.239
030 - FVM - 2 crows - Baited,,120.0,120.498,0.498
030 - FVM - 2 crows - Baited,,121.238,122.495,1.257
030 - FVM - 2 crows - Baited,,124.0,125.258,1.258
030 - FVM - 2 crows - Baited,,127.01,128.259,1.249
030 - FVM - 2 crows - Baited,,131.759,139.26,7.501
030 - FVM - 2 crows - Baited,,142.026,142.525,0.499
030 - FVM - 2 crows - Baited,,144.762,145.26,0.498
030 - FVM - 2 crows - Baited,,148.762,149.259,0.497
030 - FVM - 2 crows - Baited,,151.26,151.522,0.262
030 - FVM - 2 crows - Baited,,153.02,154.019,0.999
030 - FVM - 2 crows - Baited,,155.521,156.019,0.498
030 - FVM - 2 crows - Baited,,158.52,159.262,0.742
030 - FVM - 2 crows - Baited,,161.021,162.023,1.002
030 - FVM - 2 crows - Baited,,165.262,165.518,0.256
030 - FVM - 2 crows - Baited,,166.526,166.762,0.236
030 - FVM - 2 crows - Baited,,168.519,169.76,1.241
030 - FVM - 2 crows - Baited,,170.525,171.02,0.495
030 - FVM - 2 crows - Baited,,172.025,172.759,0.734
030 - FVM - 2 crows - Baited,,176.057,176.558,0.501
030 - FVM - 2 crows - Baited,,181.807,182.307,0.500
030 - FVM - 2 crows - Baited,,183.306,184.127,0.821
